,NAME,ZIP,TEL,TYPE,GRADE,LON,LAT,ADDRESS,YELP STAR
37,THE REDHEAD,10003,2125336212,American,,-73.9833605,40.7309371,"349 EAST 13 STREET, New York City",2
38,CLINTON STREET BAKING COMPANY,10002,6466026263,American,A,-73.9838228,40.7211907,"4 CLINTON STREET, New York City",2.5
39,BOBBY VAN'S GRILL,10020,2129575050,American,A,-73.9822828,40.7609173,"135 WEST   50 STREET, New York City",2.5
40,SABOR A MEXICO TAQUERIA,10009,2125334002,Mexcian,A,-73.9842702,40.7285016,"160 1 AVENUE, New York City",1
41,CHIPOTLE MEXICAN GRILL,10014,9172436043,Mexcian,A,-73.982577,40.669202,"405 6 AVENUE, New York City",5
42,NUCCI'S RESTAURANT,10310,7188154882,Italian,,-74.1097497,40.6296623,"616 FOREST AVENUE, New York City",3.5
43,TEN FULL,11104,7183618838,Chinese,A,-73.925119,40.7401849,"3949 48 AVENUE, New York City",4.5
44,THE ORIGINAL BLUE CANTINA,10469,3476027760,Mexcian,,-73.8394189,40.8810111,"3762 BOSTON ROAD, New York City",3.5
45,DOWNTOWN GALWAY HOOKER,10014,2126756220,European,,-74.0019991,40.7345642,"133 7 AVENUE SOUTH, New York City",2.5
46,PANINI GRILL,10022,2123004010,American,,-73.9656987,40.7551169,"937 1ST AVE, New York City",3.5
47,LITTLE BROWN JUG,11418,7188469609,American,,-73.8263016,40.7006081,"12402 JAMAICA AVENUE, New York City",4
48,THE IMMIGRANT NYC,10003,6463081724,American,A,-73.9853652,40.7285659,"341 EAST    9 STREET, New York City",2
49,AUNT BUTCHIES/ REVIVE BAR,11430,6464775291,QuickMeal,A,-73.7781391,40.6413111,"0 JFK INTERNATIONAL AIRPORT, New York City",3.5
50,UMI SUSHI,11366,7189698298,Asian,,-73.7905127,40.7263702,"17713 UNION TPKE, New York City",4
51,BOMBAY CURRY,11216,7184842475,Asian,A,-73.9494186,40.6793006,"525 NOSTRAND AVENUE, New York City",3.5
52,THE GROTTO,10004,2128096991,QuickMeal,A,-73.9362831,40.7913764,"69 NEW STREET, New York City",4
53,SUBWAY,11209,7182387068,QuickMeal,,-73.9728946,40.7644711,"8421 5 AVENUE, New York City",4.5
54,BITE,10003,2126773123,European,,-73.9861641,40.7331583,"211 EAST   14 STREET, New York City",2
55,DA MARINO RESTAURANT,10019,2125416601,Italian,,-73.9853348,40.7609075,"220 W 49TH ST, New York City",5
56,DONUT CONNECTION,11220,7182388921,American,,-73.9906003,40.7286208,"6830 3 AVENUE, New York City",4
57,GALLAGHER'S 2000,11101,7183611348,American,,-73.9275075,40.745193,"4319 37 STREET, New York City",3
58,TOASTIES,10022,7183097452,American,,-73.9684393,40.759463,"924 3RD AVE, New York City",4.5
59,MARKET PLACE (CENTERPLATE),10001,2122162426,American,,-74.0025907,40.757777,"655 WEST   34 STREET, New York City",4.5
60,12 CHAIRS,10012,2122548640,American,,-74.0023324,40.7275129,"56 MACDOUGAL STREET, New York City",5
61,STARBUCKS COFFEE #23591,11210,3475330430,Dessert,A,-73.9367369,40.622892,"1931 FLATBUSH AVE, New York City",2.5
62,PAULS DA BURGER JOINT,10003,2125293033,QuickMeal,B,-73.9880156,40.7285229,"131 2 AVENUE, New York City",4
63,BEST BAGEL & COFFEE,10001,2125644409,QuickMeal,A,-73.9910861,40.7522683,"225 WEST 35 STREET, New York City",4
64,BROOKLYN BAGEL & COFFEE COMPANY,10001,2129242824,QuickMeal,,-73.9974951,40.7461225,"286 8 AVENUE, New York City",4
65,NEW CHINA III,11377,7186725300,Chinese,A,-73.906069,40.74526,"5814 ROOSEVELT AVE, New York City",3
66,GOOGLE CHELSEA MARKET,10011,2125654428,American,B,-74.0060838,40.7425547,"75 9 AVENUE, New York City",4.5
67,THE KATI ROLL COMPANY,10018,2127304280,Asian,,-73.9845828,40.7527891,"49 WEST   39 STREET, New York City",3.5
68,LEXINGTON CANDY SHOP,10028,2122880057,American,,-73.9573006,40.7774954,"1226 LEXINGTON AVENUE, New York City",3
69,HIBACHI ON THE RUN,11212,3477709732,Asian,,-73.920672,40.661157,"1143 CLARKSON AVE, New York City",5
70,FREEMANS (FREEMANS ALLEY),10002,2124200012,American,B,-73.992272,40.721989,"191 CHRYSTIE STREET, New York City",5
71,KOWLOON CAFE,11214,7183331388,Chinese,,-73.9897592,40.5998222,"2365 86 STREET, New York City",5
72,CARIBBEAN TOP GRILL,11210,3472951385,Mexcian,A,-73.9476507,40.6348693,"2077 NOSTRAND AVENUE, New York City",1.5
73,EARL OF SANDWICH,10104,2122479246,American,A,-73.978872,40.7604895,"1290 AVENUE OF THE AMERICAS, New York City",4
74,FLAVORS CORNER,11101,7183611616,American,A,-73.9452784,40.7552237,"1018 41ST AVE, New York City",4.5
75,VAPIANO,10003,2127779477,Italian,,-73.992127,40.7342879,"113 UNIVERSITY PLACE, New York City",4
76,TONG SAM GYUP GOO YI RESTAURANT,11358,7183594583,Asian,,-73.8030154,40.7621463,"16223 DEPOT ROAD, New York City",2.5
77,HALE & HEARTY SOUP,10011,2122552400,QuickMeal,,-74.0060838,40.7425547,"75 9 AVENUE, New York City",2.5
78,FRIENDS SPORTS BAR,10462,3478515788,American,B,-73.8549088,40.835813,"1448 OLMSTEAD AVENUE, New York City",4.5
79,B.A.M. CAFE/GREAT PERFORMANCES,11217,7186237811,American,A,-73.9776999,40.6864669,"30 LAFAYETTE AVENUE, New York City",5
80,ASIAN WOK,10038,2127660821,Chinese,,-74.0058365,40.7091006,"88 FULTON ST, New York City",3.5
81,MASAWA,10027,2126630505,Other,,-73.9585846,40.8097806,"1239 AMSTERDAM AVENUE, New York City",4
82,FEDORA,10014,6464499336,American,,-74.0028946,40.7345315,"239 WEST    4 STREET, New York City",3.5
83,CASSIDY'S PUB,10019,2123970814,European,A,-73.9771995,40.7628464,"65 WEST   55 STREET, New York City",3
84,SUPER POLLO,11232,7188715700,Other,,-73.9635974,40.7771822,"4102 5 AVENUE, New York City",3
85,CHARLEY MOM KITCHEN,10028,2124396363,Chinese,,-73.948178,40.7740391,"1580 YORK AVENUE, New York City",1
86,AREPAS CAFE,11106,7189373835,American,A,-73.9277103,40.7558183,"3307 36TH AVE, New York City",5
87,KINGSTON PIZZA,11213,7187747665,QuickMeal,,-73.9418589,40.6708481,"259 KINGSTON AVENUE, New York City",4.5
88,NEW PHOENIX,10304,7188180105,Chinese,A,-74.0849579,40.6153882,"480 TARGEE STREET, New York City",3.5
89,THE RIBBON,10023,2127875656,American,A,-73.9774548,40.7765601,"20 W 72ND ST, New York City",4
90,SUPER 403 CHINESE RESTAURANT,11218,7188510403,Chinese,A,-73.9763737,40.6442616,"403 CHURCH AVENUE, New York City",5
91,TRATTORIA LUCIA,11426,7183432185,Italian,,-73.718885,40.7259478,"24763 JAMAICA AVENUE, New York City",5
92,RAVAGH PERSIAN GRILL,10003,2123350207,Asian,B,-73.9857329,40.7274097,"125 1ST AVE #127, New York City",3
93,AITA RESTAURANT/MAYFLOWER,11238,7185763584,Italian,,-73.9665911,40.6864449,"132 GREENE AVENUE, New York City",3.5
94,HERALD SQUARE MARKET,10018,2122443484,American,,-73.9926544,40.6586612,"968 6 AVENUE, New York City",4
95,MIGDALIA PLACE,11206,9178374817,American,,-73.9442368,40.6984783,"190 THROOP AVENUE, New York City",4
96,KFC,10025,2126659430,American,,-73.9682766,40.8013318,"2755 BROADWAY, New York City",2
97,PORTO BELLO PIZZERIA & RESTAURANT,11105,7182048766,QuickMeal,A,-73.9042288,40.7705082,"43-18 DITMARS BLVD, New York City",3.5
98,HAAGEN-DAZS,10065,2122885200,Dessert,A,-73.9592901,40.7628988,"1188 1 AVENUE, New York City",4.5
99,SHELLYS IRISH DELI,11378,7184240429,European,A,-73.8987262,40.7248709,"5634 66TH ST, New York City",4.5
100,PACO'S TACOS PLUS,11228,7182348226,Mexcian,,-74.009535,40.6111114,"1504 86TH ST, New York City",2.5
101,FAMILY PIZZA,11225,7184620639,QuickMeal,A,-73.9601721,40.6558571,"720 FLATBUSH AVENUE, New York City",4
102,SHEAS EMERALD,10468,7183649924,European,A,-73.8894032,40.8726919,"2960 JEROME AVENUE, New York City",4
103,5BAR KARAOKE,10001,2125946644,Asian,,-73.9874152,40.7477712,"38 WEST   32 STREET, New York City",4
104,NAGOYA SUSHI,11229,7183363688,Asian,B,-73.9544815,40.610555,"1907 KINGS HIGHWAY, New York City",5
105,CRAVE,11103,7187264976,European,,-73.9170328,40.7652343,"2855 36 STREET, New York City",4.5
106,EL PASO RESTAURANTE MEXICANO,10029,2128319831,Mexcian,B,-73.9471365,40.7906846,"1643 LEXINGTON AVENUE, New York City",2.5
107,NAGLE BAKERY,10040,6464769462,QuickMeal,,-73.9269232,40.8606734,"121B NAGLE AVENUE, New York City",3.5
108,HARDING'S,10010,2126002105,American,A,-73.9887809,40.7392836,"32 EAST 21 STREET, New York City",3.5
109,CAFE 232,11205,7186381750,Asian,,-73.9596293,40.6909248,"232 TAAFFE PLACE, New York City",3
110,HERB N' KITCHEN MARKET,10017,2122973577,American,,-73.9719069,40.7494205,"304 EAST   42 STREET, New York City",2.5
111,BAYOU,10305,7182734383,French,A,-74.0683826,40.6168075,"1072 BAY STREET, New York City",5
112,JODY'S CLUB,10301,7187276338,American,A,-74.1018183,40.6308214,"372 FOREST AVENUE, New York City",4
113,NURNBERGER BIERHAUS,10310,7188167461,European,B,-74.1096127,40.6349032,"817 CASTLETON AVENUE, New York City",4
114,LA NOSTRA PIZZERIA,10029,2123607453,QuickMeal,A,-73.940172,40.793151,"2146 2 AVENUE, New York City",3
115,LUPE'S EAST L.A. KITCHEN,10013,2129661326,Mexcian,B,-74.0045136,40.7236625,"110 AVENUE OF THE AMERICAS, New York City",3
116,CAFE BENCH,11358,7182240703,American,A,-73.7871903,40.7579166,"19409 NORTHERN BOULEVARD, New York City",4.5
117,PARAISO AZTECA RESTAURANT,11229,7189989860,Mexcian,,-73.9571216,40.6085947,"1681 EAST   16 STREET, New York City",4.5
118,Baby's Grill and Restaurant,11377,7184408121,Asian,,-73.8965902,40.7461067,"6828 ROOSEVELT AVE, New York City",3.5
119,WAT'S ON YOUR PLATE,10031,2122344411,Mexcian,,-73.948381,40.825871,"513 WEST  145 STREET, New York City",4.5
120,GINO'S PIZZERIA,10302,7182730945,Italian,,-74.1355321,40.6262426,"1351 FOREST AVENUE, New York City",4
121,THE CLAM,10014,2122427420,American,A,-74.0065674,40.7303199,"420 HUDSON ST, New York City",4.5
122,AUREOLE,10036,2123191660,American,A,-73.9852848,40.7555892,"135 WEST   42 STREET, New York City",4
123,THE SHOREHAM HOTEL,10019,2122476700,American,A,-73.9763631,40.7624988,"33 WEST   55 STREET, New York City",3.5
124,CHUCK E. CHEESE'S,10027,2122229772,QuickMeal,,-73.9527649,40.8101402,"280 ST NICHOLAS AVENUE, New York City",4.5
125,WENDY'S,10303,7189812102,QuickMeal,,-74.147417,40.6253047,"1761 FOREST AVENUE, New York City",4
126,SOPHIE'S CUBAN CUISINE,10007,2126089900,European,,-74.0076468,40.7145911,"96 CHAMBERS STREET, New York City",4.5
127,THE HIDEOUT,11209,7188364314,American,A,-73.9728946,40.7644711,"8415 5TH AVE, New York City",4
128,THE OOH LALA  LOUNGE,11233,9174008384,Other,,-73.9193122,40.6741168,"391 HOWARD AVE, New York City",5
129,FINO,11361,7182291330,QuickMeal,,-73.771381,40.764961,"3913 BELL BOULEVARD, New York City",5
130,AKIMOTO SUSHI,10007,2127663351,Asian,A,-74.0069603,40.7157374,"187 CHURCH STREET, New York City",2.5
131,CHALAIT,10001,2129290266,Dessert,,-73.9882579,40.7465011,"1214 BROADWAY, New York City",5
132,SAN MARCO PIZZERIA,11211,7183874861,Italian,,-73.9496269,40.7142498,"577 LORIMER STREET, New York City",3
133,AU BON PAIN,10001,2122445573,QuickMeal,A,-73.9895261,40.7507917,"151 WEST   34 STREET, New York City",3.5
134,PATES PLUS BAKERY,11429,7184689868,QuickMeal,,-73.7351326,40.7167414,"9715 SPRINGFIELD BOULEVARD, New York City",3
135,SHUN FOOK CHINESE RESTAURANT,11420,7188437074,Chinese,B,-73.8206948,40.670218,"13507 LEFFERTS BOULEVARD, New York City",5
136,NEW FOREST CAFE,11214,7183318833,Dessert,,-74.0001399,40.6143564,"7617 NEW UTRECHT AVE, New York City",2
137,TURKISH GRILL RESTAURANT & BAR,11104,7183923838,Other,C,-73.9221448,40.74387,"4203 QUEENS BOULEVARD, New York City",5
138,"DUNKIN' DONUTS, BASKIN ROBBINS",11417,7188430400,American,A,-73.8451497,40.6810837,"9405 ROCKAWAY BOULEVARD, New York City",3
139,PAPA JOHN'S,10128,2129964444,QuickMeal,A,-73.94946,40.7803979,"301 EAST   90 STREET, New York City",5
140,B.Q.E. CAFE BILLIARDS,11372,7187794348,American,A,-73.8958229,40.752156,"7002 34 AVENUE, New York City",3.5
141,MACDOUGAL STREET ALE HOUSE,10012,2122540006,American,B,-74.0003129,40.7298583,"122 MACDOUGAL STREET, New York City",4
142,CUPOLA SAMARKANDA,11230,7183757777,Other,A,-73.9727521,40.60913,"1797 MCDONALD AVENUE, New York City",5
143,CENTER PLATE- CONCOURSE CAFE-JACOB K JAVITS CONVENTION CENTER,10001,2122162404,Dessert,A,-74.0025907,40.757777,"655 W 34TH ST, New York City",3.5
144,WILLIAM GREENBERG JR DESSERTS,10028,2128611340,Dessert,,-73.960608,40.7787515,"1100 MADISON AVENUE, New York City",3
145,BEACH STREET EATERY,10013,7184404636,American,,-74.0095909,40.7208391,"57 BEACH STREET, New York City",5
146,TIM HORTONS,10305,7186900783,Other,,-74.0886833,40.5904735,"1562 HYLAN BOULEVARD, New York City",3.5
147,ROW NYC,10036,2128693600,American,,-73.9874449,40.7586655,"270 W 45 ST, New York City",2
148,TASTE OF LAHORE,11372,3476241294,Asian,A,-73.8933021,40.7545178,"7310 NORTHERN BOULEVARD, New York City",4
149,GOOD FORTUNE RESTAURANT,11355,7188888998,Chinese,,-73.8177395,40.7497707,"4645 KISSENA BOULEVARD, New York City",4.5
150,WING HING SEAFOOD RESTAURANT,11229,7189980360,Chinese,,-73.9596307,40.5987028,"1217 AVENUE U, New York City",4.5
151,CENTRAL CAFE SENECA,11385,9179023701,Dessert,A,-73.912125,40.705716,"487 SENECA AVE, New York City",4.5
152,WITLOF,11249,3479874305,European,A,-73.9615859,40.7143927,"292 BEDFORD AVENUE, New York City",4
153,MILENIO BAKERY,10029,6464769530,QuickMeal,,-73.9422802,40.7952754,"2030 THIRD AVE, New York City",4
154,ALOBAR RESTAURANT,11101,7187526000,American,C,-73.9533066,40.7457862,"4642 VERNON BOULEVARD, New York City",4.5
155,IMPERIAL PALACE,11354,7183580888,Chinese,,-73.8306391,40.7618767,"13613 37 AVENUE, New York City",4
156,CIRO PIZZA CAFE,10312,7186050620,Italian,A,-74.1927838,40.5333005,"862 HUGUENOT AVENUE, New York City",4.5
157,KENNEDY FRIED CHICKEN,10467,7186640303,Chinese,,-73.8673621,40.8718432,"3211A WHITE PLAINS RD, New York City",3.5
158,BOB'S STEAK & CHOP HOUSE,10022,2127545031,American,B,-73.9749476,40.7594267,"21 EAST   52 STREET, New York City",4.5
159,AMADEUS,11375,9175685140,Other,A,-73.8493872,40.7325186,"6419 108 STREET, New York City",4.5
160,THE CAPITAL GRILLE,10271,2123741811,American,,-74.0104896,40.7082363,"120 BROADWAY, New York City",4
161,MOLCAJETE,11372,7188991200,Mexcian,,-73.874088,40.7488482,"9213 ROOSEVELT AVENUE, New York City",4
162,TARTINE,10014,2122292611,Other,,-74.0034548,40.7363457,"253 WEST   11 STREET, New York City",2.5
163,BEKY BAKERY AND COFFEE SHOP,11368,7183970329,European,,-73.86366,40.751216,"3778 103 STREET, New York City",3.5
164,SWEET AFTON,11103,7187772570,American,,-73.9190267,40.7653878,"3009 34 STREET, New York City",5
165,CASCABEL TAQUERIA,10025,2126651500,Mexcian,B,-73.9680575,40.8028278,"2799 BROADWAY, New York City",2.5
166,DA NOI,10017,2127545710,Italian,A,-73.9706971,40.7547549,"214 EAST   49 STREET, New York City",4.5
167,ATHENA MEDITERRANEAN CUISINE,11215,7189654578,European,A,-73.9863899,40.6648302,"535 6 AVENUE, New York City",2.5
168,LYCHEE HOUSE,10022,2127533900,Chinese,B,-73.9694102,40.759509,"141 EAST 55 STREET, New York City",3.5
169,PEACHES,11233,7189424162,Other,,-73.9347026,40.6816671,"393-403 LEWIS AVENUE, New York City",5
170,AMC THEATRES,11360,7186310382,American,A,-73.778853,40.7794457,"21101 26 AVENUE, New York City",3
171,AMINA THAI,11432,7188801804,Asian,,-73.7922069,40.7107537,"16922 HILLSIDE AVE, New York City",4
172,AUNTIE ANNE'S PRETZELS,10001,2122396882,QuickMeal,A,-73.98449,40.7484051,"0 34 STREET, New York City",4.5
173,NEW KAM LAI CHINESE RESTAURANT,10024,2127698990,Chinese,B,-73.9758589,40.7869391,"514 AMSTERDAM AVENUE, New York City",3
174,WOODHAVEN HOUSE,11374,7188945400,European,A,-73.8673587,40.7217882,"6398 WOODHAVEN BOULEVARD, New York City",2.5
175,MOLYVOS,10019,2125827500,European,A,-73.9805666,40.7644251,"871 7 AVENUE, New York City",3.5
176,SUSHI YOU,11364,7182811188,Asian,,-73.759127,40.7408443,"21505 73 AVENUE, New York City",4.5
177,Akaru Sushi,11237,7189287688,Asian,B,-73.9160728,40.7025643,"201 WYCKOFF AVE, New York City",3.5
178,DE LA VEGA RESTAURANT,11206,7185992342,European,A,-73.9487278,40.7108449,"472 LORIMER STREET, New York City",3
179,ST MAZIE,11211,7183844807,American,A,-73.9897373,40.7167029,"345 GRAND STREET, New York City",5
180,TASTEE JERK,11412,7182850704,Mexcian,,-73.75748,40.706387,"20003 HOLLIS AVENUE, New York City",1.5
181,ARCHIE'S TAP AND TABLE,10464,7188859229,American,A,-73.789508,40.853108,"536 CITY ISLAND AVE, New York City",4
182,LAO MA MA LA TANG,11354,7183582339,Chinese,B,-73.8290939,40.759362,"13620 ROOSEVELT AVENUE, New York City",4.5
183,SHERIDAN MARKET,10451,3479188111,American,,-73.9212329,40.8267967,"191 EAST  161 STREET, New York City",3
184,PUSHCART COFFEE,10001,6466493079,Dessert,,-74.000569,40.7481226,"401 W 25TH ST, New York City",1
185,NEW CASTLE DELI & GROCERY,11434,7189955327,QuickMeal,,-73.7678901,40.6571521,"14934 GUY R BREWER BLVD, New York City",4.5
186,ESPRESSO 77,11215,7185763997,Dessert,A,-73.9912607,40.7501142,"410 7TH AVE, New York City",4
187,LAND THAI KITCHEN,10024,2125018121,Asian,,-73.9773369,40.7849823,"450 AMSTERDAM AVENUE, New York City",2
188,SABAY THAI,11373,7184247916,Asian,B,-73.889673,40.746122,"7519 BROADWAY, New York City",4
189,LAS AMERICAS BAKERY,11373,7184576437,QuickMeal,,-73.8840338,40.7466984,"4030 82 STREET, New York City",5
190,LA BOITE,10019,2122474407,American,A,-73.9937647,40.7665486,"724 11 AVENUE, New York City",3
191,UNCLE PETER'S,11372,7186518600,Other,A,-73.8838532,40.7560052,"8315 NORTHERN BOULEVARD, New York City",4.5
192,ORIENTAL CHINESE KITCHEN,11235,7188918563,Chinese,A,-73.9670038,40.5803481,"390 NEPTUNE AVENUE, New York City",4
193,NEW CHINA RESTAURANT,10457,7185837666,Chinese,B,-73.9071787,40.8445477,"240 E 174TH ST, New York City",5
194,MATSU SUSHI,11103,7187267029,Asian,A,-73.918383,40.765734,"3411 30 AVENUE, New York City",5
195,Tony's Original's Pizzeria,10301,7187204800,Other,A,-74.0793863,40.6383481,"11 CORSON AVE, New York City",4
196,DUMBO KITCHEN,11201,7187971695,American,,-74.0104273,40.7181084,"108 JAY STREET, New York City",3
197,MURPHY'S PUB & RESTAURANT,10022,2127515400,European,,-73.9679956,40.7560378,"977 2 AVENUE, New York City",4
198,OLIVE GARDEN,11239,7183481071,Italian,,-73.8693164,40.651481,"505 GATEWAY DRIVE, New York City",4.5
199,PAPI NICE BAR,10469,7183241991,American,B,-73.8602861,40.8657387,"925 ALLERTON AVENUE, New York City",3
200,INAKAYA,10018,2123542195,Asian,A,-73.9901084,40.7561001,"620 8 AVENUE, New York City",5
201,LA CABANA SALVADORENA RESTAURANT,10040,2129287872,American,A,-73.933409,40.8543694,"4384 BROADWAY, New York City",3.5
202,SUSHI CHOSI,10003,2124201419,Asian,A,-73.9868281,40.7369226,"77 IRVING PLACE, New York City",3.5
203,M SHANGHAI,11211,7183849300,Chinese,,-73.9919097,40.7177944,"292 GRAND ST, New York City",3.5
204,MADAME SOU SOU,11106,7187106577,European,A,-73.9218713,40.7633317,"3105 33RD ST, New York City",3.5
205,YE MEI BAKERY,11373,7188988005,QuickMeal,,-73.8832693,40.7428605,"8126 BROADWAY, New York City",5
206,LUCY'S ASIAN KITCHEN,11430,7186566210,Asian,A,-73.7781391,40.6413111,"0 JOHN F. KENNEDY INTL AIRPORT, New York City",3
207,ISAAC'S COFFEE SHOP,11210,7183779595,Dessert,A,-73.9462889,40.624629,"3001 AVENUE K, New York City",5
208,MY MOST FAVORITE FOOD,10023,2125805130,Other,,-73.983302,40.7795794,"247 WEST   72 STREET, New York City",3
209,DOWNTOWN BAKERY II MEXICAN FOOD,10003,2122541757,Mexcian,,-73.9872252,40.7254662,"69 1 AVENUE, New York City",4
210,YUMMY TACO,11428,7187763616,Mexcian,,-73.732973,40.7200074,"221-07 JAMAICA AVE, New York City",3
211,SALAAM BOMBAY,10013,2122269400,Asian,,-74.0104987,40.7170258,"319 GREENWICH STREET, New York City",3
212,BAIRES BAKERY,11372,7186724046,QuickMeal,,-73.8758608,40.748728,"9009 ROOSEVELT AVENUE, New York City",5
213,RAMEN LAB,10012,6466137522,Asian,A,-73.9964333,40.720959,"70 KENMARE ST, New York City",4
214,ALPHAVILLE,11237,2013042844,American,,-73.925855,40.700486,"140 WILSON AVE, New York City",3.5
215,PIZZA PETE'S,10024,2127873153,QuickMeal,,-73.9725922,40.7862402,"528 COLUMBUS AVENUE, New York City",2.5
216,TASTY DELICIOUS WEST INDIAN BAKERY & RESTAURANT,11236,7186760149,Mexcian,A,-73.9028674,40.6458674,"1397 ROCKAWAY PARKWAY, New York City",2
217,DUGOUT PUB,11377,7184298849,European,A,-73.9035356,40.7452754,"3976 61ST ST, New York City",2
218,NEIL'S COFEE SHOP,10021,2126287474,American,B,-73.9630072,40.7689107,"961 LEXINGTON AVENUE, New York City",4.5
219,SANCTUARY T,10013,2129417832,American,,-74.0035309,40.7224306,"337 WEST BROADWAY, New York City",5
220,LA NUEVA BAKERY,11372,7185072339,European,,-73.8799508,40.7500348,"8610 37TH AVE, New York City",3.5
221,JAIYA THAI & ORIENTAL RESTAURANT,10028,2127178877,Asian,,-73.9545041,40.7745221,"1553 2 AVENUE, New York City",3
222,PLOY THAI,11373,7182057298,Asian,A,-73.8830972,40.7428197,"8140 BROADWAY, New York City",4.5
223,JUST SALAD,10004,6467964322,QuickMeal,A,-74.0119961,40.7037939,"90 BROAD ST, New York City",3
224,ESTRELLA BAR & RESTAURANT,10452,7182937246,American,,-73.9164774,40.8414854,"1470 JEROME AVENUE, New York City",4
225,BETWEEN THE BREAD,10016,2127651840,American,,-73.9807539,40.7516212,"20A E 40TH ST, New York City",4
