NAME,ZIP,TEL,LON,LAT,ADDRESS
"ALI (NY), INC.",11104,7187864578,-73.92283272,40.74051609,GREENPOINT AVE
V.A. GROCERY AND DELI CORP,11233,4128890993,-73.90800913,40.67987611,HULL ST
BIONIC BAGEL CORP.,11235,7186483794,-73.940366,40.59260495,NOSTRAND AVE
JIYA DELI & GROCERY INC.,11354,7188889655,-73.8202737,40.76504684,NORTHERN BLVD
"FAMILY DOLLAR STORES OF NEW YORK, INC.",10468,7048476961,-73.90344115,40.85914234,JEROME AVE
MADISON SQ. FOOD CORP.,10001,2127365617,-73.99518179,40.74981361,8TH AVE
SAMMY QUICK STOP DELI & GROCERY INC.,11417,7183232846,-73.83765672,40.68171421,LIBERTY AVE
HUDSON RETAIL NEU-NEWS LAGUARDIA JV,11371,7184246500,,,MAIN TERMINAL
MUKTI  E 163RD PETROLEUM INC.,10451,718-402-9201,-73.9104792,40.82461408,E 163RD ST
"RAGOONANAN, DAVE",11214,7182660420,-73.986799,40.5976948,86TH ST
VIRPA PRODUCE INC,11203,7189269021,-73.93106573,40.65169512,CHURCH AVE
"MILANO GIFT SHOP, INC.",10013,2129650978,-73.99808446,40.71788946,MULBERRY ST
NAMDOR INC.,10044,2127213077,-73.94676,40.76516374,MAIN ST
PASCUAL FOOD CORP.,10472,7186205200,-73.85319227,40.8276624,OLMSTEAD AVE
TUNISSERVICE CORP,11215,718-788-0665,-73.98974912,40.66185729,18TH ST
WOODRUFF FINEST GROCERY CORP,11226,347-295-1949,-73.96005683,40.6547034,WOODRUFF AVE
"DAS, SUKANTA",10012,9174984456,-73.99404032,40.72032118,DELANCEY STREET
"WALGREEN EASTERN CO., INC.",10307,7189672955,-74.23352571,40.5158329,AMBOY RD
MAHBUB DELI AND MARKET INC.,11204,347-702-5855,-73.98604251,40.61633188,20TH AVE
HWANG SO 857 CORP.,10017,5163192656,-73.97046165,40.75223353,2ND AVE
"SHAH, PRASHANT",10017,5168517725,-73.97444325,40.75076604,3 AVENUE
K AND K FOOD CORP.,10002,212-571-2183,-73.98904896,40.71130153,CHERRY ST
BASEL A ELBARATI,11213,6462407388,-73.93064256,40.67395778,UTICA AVE
JJP DELI GROCERY INC,10462,7186843207,-73.86322397,40.83598025,WHITE PLAINS RD
AKOTA MEAT MARKET CO. INC.,11377,7182055680,-73.89227592,40.74645865,73RD ST
"ARGO TRADING, INC",11375,7184801967,-73.85064684,40.71086207,71ST AVE
EMELI DELI & GROCERY CORP.,10460,,-73.86823095,40.84235656,VAN NEST AVE
H & H GROCERY & HALAL MEAT INC.,11230,7186795506,-73.9622291,40.62454991,E 14TH ST
SHRINATHJI KRUPA LLC,10012,973-652-8988,-73.9969912,40.72265159,LAFAYETTE ST
"18TH AVE DELI & GROCERY A, INC.",11214,7183313546,-74.00204563,40.60772777,18TH AVE
STOP 1 DELI GROCERY CORP,11210,3475339013,-73.94786193,40.63491686,NOSTRAND AVE
ROSEDALE FANTASTIC DELI INC,11422,3476352975,-73.73987233,40.65961756,243RD ST
"WALGREEN EASTERN CO., INC.",11420,718-426-4182,-73.81898484,40.676087,ROCKAWAY BLVD
"PAREKH, INDU K.",11372,7185058218,-73.89175215,40.74896412,37 AVENUE
NORDOMI #2 DELI CORP.,11435,7185584131,-73.81299054,40.70269626,89TH AVE
"WALGREEN EASTERN CO., INC.",11228,718-426-4182,-74.00458212,40.62305737,13TH AVE
T&A DELI INC.,11211,7187823975,-73.94081811,40.7121981,BUSHWICK AVE
BOLLA OPERATING CORP.,11222,5165126125,-73.94429941,40.72030786,MEEKER AVE
East Side Convenience Store Inc.,10002,9174020538,-73.98430324,40.7216103,E HOUSTON ST
T&J GROCERY CORP.,11207,718-342-3141,-73.88924451,40.66388772,RIVERDALE AVE
"RAHMAN CANDY & TOBACCO, INC.",10007,2125131413,-74.00736239,40.71464768,CHAMBERS ST
Bolla Operating Corp,11362,973-870-6959,-73.72426674,40.76576558,NASSAU BLVD
4 GOLD STAR GOURMET DELI CORP.,11229,718-769-0401,-73.93678827,40.59882276,AVENUE V
"ROMI CARDS & GIFTS, INC.",10306,7183513271,-74.13251141,40.56366317,AMBOY RD
BANDERAS FOOD CORP,11221,718-484-8357,-73.9179462,40.69397254,CENTRAL AVE
ASTOR DELI AND GROCERY INC,10467,7187986569,-73.86594461,40.8595797,ASTOR AVE
SC & IT INC.,11435,7187397299,-73.80535108,40.69675214,SUTPHIN BLVD
"RAMSAY, GLEN R",11212,718-485-3688,-73.9099812,40.65588282,HEGEMAN AVE
CLASSON DELI AND GROCERY INC,11238,347-715-9363,-73.95915997,40.67738044,CLASSON AVE
V & M INTERNATIONAL DELI GROCERY CORP.,11368,7183960320,-73.86623474,40.74768022,41ST AVE
S & K CONVENIENT MART INC.,11102,7187771315,-73.92262737,40.77129828,ASTORIA BLVD
681 TIMES SQUARE FOOD CORP.,10036,2122452362,-73.9892398,40.75800627,8TH AVE
R&K CONVENIENCE INC.,11432,7187392397,-73.7832898,40.71278336,HILLSIDE AVE
MATILDA GOURMET DELI INC,10466,7187085705,-73.85646428,40.89880369,MATILDA AVE
"HUDSON GROUP (HG) RETAIL, LLC",10119,2129716800,-73.99087596,40.75065873,PENN PLZ
181 Park Deli Corp.,10033,9177948943,-73.93137883,40.84832076,W 181ST ST
V AND F ENTERPRISES INC,11694,718-945-1010,-73.83659528,40.58224416,BEACH CHANNEL DR
"DOLEH, BASSAM M.",11215,7184999784,-73.98641158,40.66120643,7TH AVE
"150-17 AUTO REPAIR, CORP.",11357,718 442 1013,-73.81263339,40.78742354,CROSS ISLAND PKWY
"D & H CANDY, INC.",10010,7186667398,-73.98517587,40.7397011,E 23RD ST
RYAN DELI CORP,11379,7183260250,-73.88656979,40.71274755,69TH ST
"NAWAZ NEWS, LLC",11415,7186662116,-73.82977324,40.70930426,LEFFERTS BLVD
N&Z GROCERY INC,11223,7186850109,-73.97856051,40.59638155,AVENUE U
AAN DELI & GROCERY INC.,11103,7185451416,-73.91670476,40.76688061,28TH AVE
"BRONXWOOD FOOD AND CONVENIENCE, INC.",10466,3472441189,-73.85229115,40.89176929,E 233RD ST
"SUNNY GOURMET DELI, INC.",11201,718-624-1956,-73.99341532,40.69290095,JORALEMON ST
"KIN, HONG",11357,7187677785,-73.81491251,40.7885608,14TH AVE
CY DELI GROCERY CORP,11433,9175283168,-73.7868207,40.70391885,LIBERTY AVE
MI ESQUINA SHOP MART INC.,11368,7184261808,-73.86148671,40.75391891,37TH AVE
RIVERDALE DELI & GROCERY INC.,10471,7185490969,-73.89801093,40.89002371,BROADWAY
"ALI, MAZHAR",11223,718-336-6033,-73.96092451,40.59468062,CONEY ISLAND AVE
"C.M. BAGEL CAFE, INC.",10475,7183209011,-73.82326491,40.86898595,BARTOW AVE
MALIHA MANAGEMENT INC,11232,917-602-5397,-74.00226325,40.65286857,5TH AVE
SHIVSHAKTEE INC,11385,347-468-2876,-73.89671261,40.70606811,FRESH POND RD
G. P. NORTHERN BLVD. SERVICE CENTER INC.,11221,718-573-9138,-73.93293718,40.69724578,MYRTLE AVE
BEST MARKET & DELI INC,11432,7185268988,-73.80647828,40.71219887,PARSONS BLVD
MIGUEL SANTIAGO,10453,7189012635,-73.91001943,40.85199496,W TREMONT AVE
MORDECHAI CORP.,11204,7182327461,-73.98735976,40.6219314,18TH AVE
NANA DELI GROCERY CORP.,11237,718-573-3276,-73.92365196,40.69951541,WILSON AVE
NEW BLONDIE FOOD 2 CORP,11231,7188555504,-74.0061758,40.6777965,COLUMBIA ST
JUANITO DELI GROCERY CORP,11368,6178006176,-73.8672402,40.7574719,NORTHERN BLVD
461 MUNCHIEZ DELI GROCERY CORP,11238,347-756-9758,-73.96068444,40.67217963,LINCOLN PL
CROES GROCERY DELI CORP,10472,,-73.87168669,40.83455174,E 174TH ST
SUNSHINE PHARMACY OF N.Y. INC.,11225,718-773-2020,-73.9426083,40.66488464,KINGSTON AVE
BHAVISHYA GAS INC,11234,9176607659,-73.92016035,40.6397757,FOSTER AVE
DUANE READE,10012,718-386-6692,-73.99447255,40.72851156,W 4TH ST
STOP 1 DELI GRILL & GROCERY CORP.,11413,7185250375,-73.75163439,40.66895389,224TH ST
LUCKY LOTTERY & CONVENIENCE INC,11432,7186589569,-73.78504062,40.71236669,HILLSIDE AVE
DELICATE FOOD CORP.,11213,718-604-8527,-73.93400514,40.66760285,SCHENECTADY AVE
681 DELI GROCERY STORE # 1 INC,10458,7183003770,-73.88537376,40.85448451,E 187TH ST
217 BAITOA DELI GROCERY CORP,10454,9172597079,-73.91764119,40.80659758,SAINT ANNS AVE
MUBAREZ STAR CORP,11203,7182078290,-73.9319658,40.64195991,AVENUE D
PLAZA FOOD MARKET CORP.,11212,718-221-0030,-73.92709001,40.66220793,RUTLAND RD
MR GROCERY CORP.,11237,7185736513,-73.91996659,40.70218631,IRVING AVE
"HETAL GROCERIES, INC.",10304,7189829335,-74.09605314,40.58908066,N RAILROAD AVE
BRR ENTERPRISES INC,10014,212-242-4424,-74.00150098,40.73092706,6TH AVE
NAMDOR INC.,10011,2127213077,-73.9992241,40.7442995,8TH AVE
MONTERO'S DELI MINI MARKET CORP,11368,9178326330,-73.86846264,40.74711462,JUNCTION BLVD
"FRIESING,  DONALD",10022,631-277-3246,-73.96913302,40.76092854,EAST   57 STREET
DUANE READE,10006,718-386-6692,-74.01295198,40.70625096,BROADWAY
JAGGI 86 PETROLEUM INC,11379,718-855-1730,-73.8975935,40.7125685,METROPOLITAN AVE
"PENNYBRIDGE DELI, INC.",11201,6467324804,-73.99288835,40.69741881,CLARK ST
"SALEH, RIAD Y",11225,7184620845,-73.96061217,40.66026177,FLATBUSH AVE
"EXECUTIVE DELI AND GROCERY, INC",11103,7182789236,-73.91207976,40.76998697,24TH AVE
BAY PKWY GROCERY CANDY CORP,11214,718-234-5545,-73.99332701,40.60239995,BAY PKWY
DUANE READE,10065,718-386-6692,-73.95954067,40.7629704,1ST AVE
SIN & SIN MANAGEMENT INC.,10466,718-231-6321,-73.840831,40.88049259,BOSTON RD
157 GERARD CORP,10451,347-597-9450,-73.92632219,40.82544322,E 157TH ST
LIBERTY DELI AND GROCERY CORP,10451,9174858238,-73.91511128,40.82182072,MELROSE AVE
GATE TOBACCO AND GIFT SHOP CORP,11237,9175258055,-73.91134564,40.70040413,GATES AVE
AYDRIAN DELI GROCERY CORP.,10459,347-862-1232,-73.89447298,40.82898661,INTERVALE AVE
113 Q'BLVD NEWS INC,11375,7185752795,-73.83525037,40.7173489,QUEENS BLVD
"M&E ENERGY, CORP.",11101,7187293800,-73.92862776,40.74430759,QUEENS BLVD
A & J GOURMET DELI INC.,11237,7188092391,-73.92992446,40.70549476,KNICKERBOCKER AVE
GRA CONVENIENT III INC.,11204,718-249-9137,-73.99036806,40.61895909,18TH AVE
"ALZOQARI, ALI S",11421,7184414850,-73.85542942,40.69273348,JAMAICA AVE
"WALGREEN EASTERN CO., INC.",11229,718-426-4182,-73.93576322,40.60128427,AVENUE U
LP CORNER DELI INC,11361,7182291584,-73.7799818,40.76749662,35TH AVE
D & A FAMILY DELI INC.,10466,3473468899,-73.84173049,40.88848911,E 233RD ST
J&W Supermarket Inc.,11236,917-804-1153,-73.91799155,40.65123914,AVENUE A
LUCKY HESTER CORNER GROCERY STORE INC.,10002,2122268160,-73.99335886,40.7166514,HESTER ST
"WALGREEN EASTERN CO., INC.",11226,718-426-4182,-73.94942437,40.65080712,CHURCH AVE
BAYSIDE ENTERPRISES INC.,11364,7184236860,-73.75870453,40.74835053,HORACE HARDING EXPY
YOUR DEAL FOOD CORP.,11221,718-452-1367,-73.91192546,40.69284274,WILSON AVE
"LANTIGUA, JUAN A",11218,718-686-7373,-73.98532378,40.64157012,13TH AVE
DUANE READE,10011,718-386-6692,-73.99622167,40.74188681,W 20TH ST
"MOHIUDDIN, MARIA T.",11233,646-400-4751,-74.01290871,40.70627017,FULTON STREET
"7-ELEVEN, INC.",11222,9728680711,-73.9541126,40.72984473,MANHATTAN AVE
L & A FOOD CORP.,11225,718-735-1170,-73.95083656,40.6661538,NOSTRAND AVE
COMPANION DELI AND GROCERY INC,10034,3473207265,-73.92130025,40.86780994,W 207TH ST
METROPOLITAN PHARMACY INC.,11375,7182636151,-73.84951199,40.71025674,METROPOLITAN AVE
DAY N NIGHT FOOD CORP.,11219,347-533-6310,-73.99533078,40.63225241,NEW UTRECHT AVE
COLLECTIBLES USA INC.,11414,7188356850,-73.84099518,40.66365548,CROSSBAY BLVD
"KRISHNA CONVENIENCE(NY), INC.",10461,7188246710,-73.8433154,40.84057976,WESTCHESTER SQ
ROBERTO A. ESPINAL,11216,7185131410,-73.95141779,40.68967676,NOSTRAND AVE
DUANE READE,11229,718-386-6692,-73.95708707,40.59876625,AVENUE U
JINAL USA LLC,10307,7188153628,-74.24854041,40.51077559,MAIN ST
HORACE GAS INC.,11368,7186997152,-73.84946625,40.73849753,HORACE HARDING EXPY
KARMA CONVENIENCE INC.,10312,7189674244,-74.15110825,40.53674927,HYLAN BLVD
RMDP NEWS INC.,11385,7183669807,-73.90292655,40.70396828,PUTNAM AVE
"GASHAN, ZAHRA MUTHANNA AHMED",11233,718-290-3930,-73.92112558,40.68586397,HANCOCK ST
QUALITY NEWS INC.,11229,347-462-3050,-73.95731845,40.60860369,E 16TH ST
"PETERS, HENSLEY A.",11218,7186931740,-73.97076795,40.64642012,CHURCH AVE
CRATER CANDY STORE CORP.,11102,3474343230,-73.92195708,40.76716974,30TH AVE
"L-MO'S MARKET, INC.",11237,6465423807,-73.93168089,40.70555071,MORGAN AVE
140 CHARLES OASIS GOURMET INC.,10014,212-505-0005,-74.00798156,40.73416286,CHARLES ST
"MARTE, WILLIAM",10025,212-864-0699,-73.96419778,40.8025318,AMSTERDAM AVE
"CEVERINO, VERONICA S",10457,7183290759,-73.89036424,40.84887644,E 180TH ST
"RITE AID OF NEW YORK, INC.",10463,212-791-5795,-73.90885968,40.875324,BROADWAY
BETA NEW YORK LLC,10461,9143821925,-73.84403408,40.85159252,EASTCHESTER RD
"7-ELEVEN, INC.",10003,9728680711,-73.99118508,40.73292217,BROADWAY
2020 DELI CORP,10451,3472377364,-73.92786567,40.8115367,E 138TH ST
"ANN-CLAIR'S SALUMERIA, INC.",10461,7184091171,-73.85176555,40.85011508,MORRIS PARK AVE
DUANE READE,10028,718-386-6692,-73.95623021,40.77977798,E 86TH ST
SINGH & SONS PETROLEUM INC.,11416,7182962470,-73.85983064,40.68500964,ATLANTIC AVE
LUCKY 7 DELI CORP.,11234,7186778367,-73.93364191,40.61964849,FLATBUSH AVE
NRT FOOD CORP.,11231,7182374070,-73.99942669,40.6870987,KANE ST
LOS PRIMOS GROCERY CORP.,10457,7183670929,-73.89994908,40.84946154,WEBSTER AVE
K P DELI CORP.,10305,7184487730,-74.07037352,40.61193872,HYLAN BLVD
AB NEWS & LOTTO INC,11377,7184244449,-73.89627892,40.74603964,69TH ST
TASNEEM FOOD CENTER INC.,11224,5183764414,-73.98326035,40.579134,NEPTUNE AVE
ASUNAN INC,10029,6463875418,-73.94694856,40.79131019,LEXINGTON AVE
7TH AVE HARLEM FOOD CORP.,10030,212-283-1360,-73.94376479,40.81520152,ADAM CLAYTON POWELL JR BLVD
MELROSE CONVENIENT STORE INCORPORATED,10455,3477400710,-73.91342639,40.81441696,E 149TH ST
DUANE READE,10468,718-386-6692,-73.89723211,40.86741774,E KINGSBRIDGE RD
ANNA & NELLIE DELI GROCERY CORP,10462,7188285910,-73.85296556,40.84032074,CASTLE HILL AVE
SHREEHARI CONVENIENCE INC,11372,7183358499,-73.88423366,40.74938499,82ND ST
"KIM, HONG",11234,718-531-0169,-73.91833171,40.62948146,RALPH AVE
2039 NYC DELI INC,10453,917-608-7512,-73.90391773,40.85205866,GRAND CONCOURSE
"PENA, VIDAL DE JESUS",11237,718-381-2833,-73.91110284,40.69587233,PUTNAM AVE
"BRIDGE FRESH, INC.",11201,718-488-1993,-73.98668082,40.70276232,JAY ST
GURU DE OAT INC,10001,908-265-6506,-73.99772609,40.75399119,W 34TH ST
BASHIR FAMOUS DELI CORP.,11434,7187750873,-73.77436791,40.67163846,GUY R BREWER BLVD
MESHVA NEWS LLC,10013,5163128709,-74.00150793,40.71914108,CANAL ST
VIP GOURMET DELI CORP,11368,7185251111,-73.86455296,40.73701763,57TH AVE
TEJEDA GROCERY CORP.,10456,7185909262,-73.91553023,40.83048884,E 166TH ST
"LEE, JONG WHAN",11214,718-372-5486,-74.00456621,40.60114294,CROPSEY AVE
COMMUNITY AID PHARMACY INC,11223,7183398118,-73.971375,40.60898683,AVENUE P
888 DELI CORP,11356,7188861417,-73.84587748,40.78298789,COLLEGE POINT BLVD
DUANE READE,10011,718-386-6692,-73.99924942,40.73913663,7TH AVE
VILLA TAPIA GROCERY CORP.,11211,718-599-4130,-73.95299127,40.7082787,S 4TH ST
"NYC INK STUDIO, INC",10012,347-539-1015,-74.00072522,40.72970291,MACDOUGAL ST
M.A. VARIETY INC,11414,7189259210,-73.83047161,40.66020947,COLEMAN SQ
"BURGOS, JUAN R",10034,2125676446,-73.91984703,40.8646196,POST AVE
RAM THAKUR ENTERPRISE INC.,11418,7186580012,-73.81671049,40.70213682,VAN WYCK EXPY
USEF CONVENIENCE STORE CORP.,11420,718-835-2638,-73.80596325,40.67475377,ROCKAWAY BLVD
AMR FOOD CORP,11411,7189779346,-73.7372598,40.69424534,LINDEN BLVD
HIGH END DELI CORP,10014,2122120220,-74.00357615,40.74018782,W 14TH ST
STOP 1 MONEY MARKET INC.,11235,718-909-5689,-73.96215133,40.57746564,BRIGHTON BEACH AVE
STADIUM CONVENIENCE INC,11238,347-653-3881,-73.96866294,40.67824803,VANDERBILT AVE
"RITE AID OF NEW YORK, INC.",11226,212-791-5795,-73.95069654,40.65075826,CHURCH AVE
R.A. 110 EAST 59TH STREET OPERATING CORP.,10022,2123080811,-73.96958374,40.76201283,E 58TH ST
LAJAN CORP.,10153,2123086818,-73.97318913,40.76402013,5TH AVE
LELA GROCERY CORP,10451,7188286672,-73.91357197,40.82471525,MELROSE AVE
BOLLA OPERATING CORP.,11224,5165126125,-73.98498475,40.57895308,NEPTUNE AVE
1105 TINTON DELI GROCERY CORP.,10456,718-589-2436,-73.90145749,40.82673663,TINTON AVE
LOUIES TASTE OF ITALY CORP.,11385,9175158757,-73.86796541,40.70300026,MYRTLE AVE
"RITE AID OF NEW YORK, INC.",11421,212-791-5795,-73.85537532,40.69274165,JAMAICA AVE
MOCA DELI GROCERY INC,10033,3474464146,-73.93793961,40.84781396,BROADWAY
"WALGREEN EASTERN CO., INC.",10312,718-426-4182,-74.16543816,40.5601922,ARTHUR KILL RD
FOUR J FOOD CORP,11221,7185737800,-73.92682873,40.68681468,PATCHEN AVE
P & K PRODUCE CORP.,11223,718-339-9565,-73.97330729,40.6043184,KINGS HWY
341 GOURMET DELI & CAFE CORP,10001,2122799221,-73.99283243,40.74794157,7TH AVE
TIME NEWSSTAND LLC,10036,8453007970,-73.98634829,40.75913131,W 46TH ST
SPEEDWAY LLC,11420,7182394862,-73.81115457,40.66712094,N CONDUIT AVE
"GENOVESE DRUG STORES, INC.",10312,212-929-6915,-74.16097153,40.54509932,AMBOY RD
"KLEYNBURG, ROMAN",11101,9178374442,-73.91053215,40.75298208,NORTHERN BLVD
JUBILEE VAPE INC.,10075,7183837006,-73.95059294,40.77118741,YORK AVE
23 DELI LLC,10011,2129246830,-74.00182614,40.74671213,W 23RD ST
PANCHOS FOODS CORP.,11216,7187827300,-73.94622345,40.69197731,DEKALB AVE
"SG FOOD CENTER, CORP.",11432,7182912315,-73.79247938,40.70977281,169TH ST
LATINOS GROCERY INC.,11204,7183366500,-73.97472412,40.60980282,65TH ST
"YAFAI GROCERY STORE, INC.",10466,7189940656,-73.8505901,40.89548889,PITMAN AVE
BLESSINGS DELI & GROCERY INC.,11385,7184176665,-73.91055034,40.70449322,SENECA AVE
64 FULTON ST. FOOD CORP.,10038,9172132202,-74.00513626,40.70876852,FULTON ST
HOLLAND GOURMET DELI CORP,10467,3479864184,-73.8654867,40.86255717,HOLLAND AVE
"CASTILLO, JOSE",10310,718-876-7551,-74.12041256,40.6342755,CASTLETON AVE
