NAME,TEL,URL,ADDRESS,LAT,LON
Italian American Museum,(212) 965-9000,http://www.italianamericanmuseum.org/,155 Mulberry St.,40.71919463,-73.99749411
Jackie Robinson Museum,(212) 290-8600,http://www.jackierobinson.org/,1 Hudson Square,40.72335066,-74.00664186
Jacques Marchais Center Museum of Tibetan Art,(718) 987-3500,http://www.tibetanmuseum.org/,338 Lighthouse Avenue,40.57631284,-74.13812337
Jeffrey's Hook lighthouse (Little Red Lighthouse),(212) 304-2365,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,178th Street at the Hudson River,40.85022003,-73.94694495
Jewish Museum,(212) 423-3200,http://www.thejewishmuseum.org/index.php,1109 Fifth Ave,40.78540226,-73.95718706
John J. Harvey Fireboat,,http://www.fireboat.org/,Pier 66 at West 26th Street,40.7523302,-74.00965484
King Manor Museum,(718) 206-0545,http://www.kingmanor.org/,152-01 Jamaica Avenue,40.70304202,-73.80376062
Kingsland Homestead,(718) 206-0545,http://www.queenshistoricalsociety.org/kingsland.html,143-35 37th Avenue,40.76359571,-73.82415642
LaGuardia and Wagner Archives,(718) 482-5065,http://www.laguardiawagnerarchive.lagcc.cuny.edu/defaultc.htm,31-10 Thomson Ave.,40.74396007,-73.93514568
Lee Young Hee Museum of Korean Culture,(212) 560-0722,http://www.lyhkm.org/,2 West 32nd Street,40.74719709,-73.98618833
Lefferts Historic House,(718) 789-2822,http://www.prospectpark.org/visit/places/lefferts,Prospect Park Willink Entrance,40.66437996,-73.96381416
Madame Tussauds Wax Museum,(800) 246-8872,http://www.madametussauds.com/NewYork/,234 W. 42nd Street,40.75631816,-73.98870226
Merchant's House Museum,(212) 777-1089,http://www.merchantshouse.com/,29 East Fourth Street,40.72765742,-73.99234605
Metropolitan Museum of Art (MET),(212) 535-7710,http://www.metmuseum.org/,1000 Fifth Avenue,40.77942354,-73.96345111
Mexican Cultural Institute of New York,(212) 217-6422,http://www.lavitrina.com/,27 E. 39th St.,40.75078437,-73.97988118
Morgan Library and Museum,(212) 685-0008,http://www.themorgan.org/home.asp,225 Madison Avenue,40.74929507,-73.98132149
Morris-Jumel Mansion,(212) 923-8008,http://www.morrisjumel.org/,65 Jumel Terrace,40.83444768,-73.93857439
Mount Vernon Hotel Museum & Garden,(212) 838-6878,http://www.mvhm.org/,421 East 61 Street,40.76052578,-73.95971083
Municipal Art Society,(212) 935-3960,http://mas.org/,457 Madison Avenue,40.75824831,-73.97499987
Museum for African Art,(718) 784-7700,http://www.africanart.org/,36-01 43rd Avenue,40.74634174,-73.92822391
Museum of American Finance,(212) 908-4110,http://www.moaf.org/index,48 Wall Street,40.70648459,-74.0091216
Museum of American Illustration,(212) 838-2560,http://societyillustrators.org/museum/index.cms,128 E. 63d St.,40.76471562,-73.96690031
Museum of Arts & Design (MAD),(212) 299-7777,http://www.madmuseum.org/,2 Columbus Circle,40.76740607,-73.98200725
Museum of Biblical Art,(212) 408-1200,http://www.mobia.org/,1865 Broadway,40.77025241,-73.98272584
Museum Of Chinese In America,(212) 619-4785,http://www.mocanyc.org/,215 Centre Street,40.71945395,-73.99919192
Museum of Comic and Cartoon Art (MoCCA),(212) 254 3511,http://www.moccany.org/,594 Broadway,40.72479795,-73.99670248
Museum of Contemporary African Diasporan Arts (MoCADA),(718) 230-0492,http://www.mocada.org/,80 Hanson Place,40.68524514,-73.97442478
Museum of Jewish Heritage,(646) 437-4200,http://www.mjhnyc.org/index.htm,36 Battery Place,40.70598665,-74.01858572
Museum of Modern Art (MoMA),(212) 708-9400,http://www.moma.org/,11 West 53rd Street,40.76118664,-73.97700363
Museum of the City of New York,(212) 534-1672,http://www.mcny.org,1220 Fifth Avenue,40.79250903,-73.95191697
Museum of the Moving Image,(718) 784-4520,http://www.movingimage.us/site/site.php,35 Avenue at 36 Street,40.75694449,-73.92451017
National Academy Museum,(212) 369-4880,https://nationalacademy.org/index.asp,1083 5th Avenue,40.78361317,-73.95849177
National Lighthouse Museum,(718) 556-1681,http://statenislandusa.com/pages/lighthouse.html,1 Lighthouse Plaza,40.64094902,-74.07373713
National Museum of the American Indian,(212) 514-3700,http://www.nmai.si.edu/,1 Bowling Green,40.70432126,-74.01372705
National September 11 Memorial & Museum at the World Trade Center,(212) 227-7722,http://www.911memorial.org/,1 Liberty Plaza,40.70965449,-74.01091566
Neue Galerie New York,(212) 628-6200,http://www.neuegalerie.org/,1048 Fifth Avenue,40.78124234,-73.96024813
New Museum of Contemporary Art,(212) 219-1222,http://www.newmuseum.org/,235 Bowery,40.7223467,-73.99283879
New York City Fire Museum,(212) 691-1303,http://www.nycfiremuseum.org/,278 Spring Street,40.72557181,-74.00693426
New York City Police Museum,(212) 480-3100,http://www.nycpolicemuseum.org/,100 Old Slip,40.70347829,-74.00811754
New York Hall of Science,(718) 699-0005,http://www.nysci.org/,47-01 111th Street,40.74714779,-73.8516868
New York Historical Society,(212) 873-3400,https://www.nyhistory.org/web/,2 West 77th Street,40.77927324,-73.97425754
New York Tolerance Center,(212) 697-1180,http://www.kintera.org/site/pp.asp?c=fwLYKnN8LzH&b=242506,50 E 42nd St,40.75242292,-73.97912411
New York Transit Museum,(718) 694-4915,http://www.mta.info/mta/museum/,Boerum Pl. & Schermenhorn Street,40.6905237,-73.99002597
Nicholas Roerich Museum,(212) 864-7752,http://www.roerich.org/,319 West 107 Street,40.802914,-73.9690225
Noble Maritime Collection,(718) 447-6490,http://www.noblemaritime.org/,1000 Richmond Terrace,40.64431194,-74.10177204
Old Stone House,(718) 768-3195,http://www.theoldstonehouse.org/,326 5th Avenue,40.67299347,-73.98461861
P.S. 1 Contemporary Art Center,(718) 784-2084,http://www.ps1.org/,22-25 Jackson Ave.,40.74583947,-73.94621242
Paley Center For Media (formerly Museum Of Television & Radio),(212) 621-6800,http://www.paleycenter.org/,25 West 52 Street,40.76057364,-73.97760161
Queens Art Museum - Bulova Corporate Center,(516) 624-1910,http://www.bdg.net/properties/1/,75-20 Astoria Blvd.,40.76460726,-73.89314846
Queens County Farm Museum,(718) 347-3276,http://www.queensfarm.org/,73-50 Little Neck Parkway,40.7455696,-73.72573661
Queens Museum of Art,(718) 592-9700,http://www.queensmuseum.org/,Queens Museum of Art,40.74584286,-73.84676276
Rose Center for Earth and Space (Hayden Planetarium),(212) 769-5100,http://www.haydenplanetarium.org/index.php,15 West 81st Street,40.78285983,-73.97257491
Rose Museum at Carnegie Hall,(212) 903-9629,http://www.carnegiehall.org/textSite/the_basics/art_museum_archives.html,154 West 57th Street,40.76501231,-73.9799105
Rubin Museum of Art,(212) 620-5000,http://www.rmanyc.org/,150 West 17th Street,40.74002038,-73.99779153
Sandy Ground Historical Society,(718) 317-5796,http://statenislandusa.com/pages/sandy_ground.html,1538 Woodrow Road,40.54097835,-74.21650282
Scandinavia House: The Nordic Center in America,(212) 879-9779,http://www.scandinaviahouse.org/,58 Park Ave.,40.7494469,-73.98008844
Schomburg Center for Research in Black Culture,(212) 491-2200,http://www.nypl.org/research/sc/sc.html,515 Malcolm X Boulevard,40.81461273,-73.94099076
School of Visual Arts Museum,(212) 592-2145,http://www.schoolofvisualarts.edu/sa/index.jsp?sid0=201&page_id=482&event_id=865,209 E. 23rd St.,40.73875919,-73.98224233
Seguine Mansion,(718) 667-6042,http://www.historichousetrust.org/item.php?i_id=38,440 Seguine Avenue,40.51521434,-74.1975893
Skyscraper Museum,(212) 968-1961,http://www.skyscraper.org/home.htm,39 Battery Place,40.70565753,-74.01756807
Solomon R. Guggenheim Museum,(212) 423-3500,http://www.guggenheim.org/,1071 Fifth Avenue,40.78300948,-73.95891102
Sony Wonder Technology Lab,(212) 833-8100,http://wondertechlab.sony.com/,550 Madison Ave,40.7614703,-73.97350782
South Street Seaport Museum,(212) 748-8600,http://www.southstreetseaportmuseum.org/,12 Fulton Street,40.70660336,-74.00372094
Staten Island Children's Museum,(718) 273-2060,http://www.statenislandkids.org/,1000 Richmond Terr.,40.64270888,-74.10189211
Staten Island Museum / Staten Island Institute of Arts & Sciences,(718) 727-1135,http://www.statenislandmuseum.org/,75 Stuyvesant Pl.,40.64436918,-74.07766506
Studio Museum in Harlem,(212) 864-4500,http://www.studiomuseum.org,144 West 125th Street,40.80824548,-73.94772615
Tenement Museum,(212) 431-0233,http://www.tenement.org/,108 Orchard Street,40.7186877,-73.98967905
"The Freakatorium, El Museo Loco",(212) 375-0475,http://www.freakatorium.com/,57 Clinton St.,40.71961673,-73.98501449
The Jazz Museum in Harlem,(212) 348-8300,http://www.jazzmuseuminharlem.org/,104 E. 126th Street,40.80527638,-73.93805874
The Jewish Children's Museum,(718) 467-0600,http://www.jcmonline.org/,792 Eastern Pkwy,40.66891158,-73.94196177
The Museum at FIT,(212) 217-5800,http://www.fitnyc.edu/306.asp,7th Avenue at West 27th Street,40.74700838,-73.99392967
Theodore Roosevelt Birthplace,(212) 260-1616,http://www.nps.gov/thrb/index.htm,28 East 20th Street,40.73864201,-73.98904085
Ukrainian Museum,(212) 228-0110,http://www.ukrainianmuseum.org/,222 East 6th Street,40.72767679,-73.98975703
Valentine-Varian House,(718) 881-8900,http://www.museumregister.com/US/NewYork/Bronx/ValentineVarianHouse/Info.html,3266 Bainbridge Ave.,40.87737982,-73.87942472
Van Cortlandt House Museum,(718) 543-3344,http://www.vancortlandthouse.org/,VAN CRTLANDT MANSION,40.89111117,-73.89482257
Wave Hill,(718) 549-3200,http://wavehill.org/visit/,West 249th Street & Independence Avenue,40.89788471,-73.91165377
Wyckoff Farmhouse Museum,(718) 629-5400,http://www.wyckoffassociation.org/,5816 Clarendon Ave,40.64434068,-73.9207963
Leo Baeck Institute,(212) 744-6400,http://www.lbi.org/,15 W. 16th St.,40.73802754,-73.99376449
American Sephardi Federation / Sephardic House,(212) 294-8350,http://www.americansephardifederation.org/,15 W. 16th St.,40.73807723,-73.9938858
YIVO Institute for Jewish Research,(212) 246-6860,http://www.yivoinstitute.org/,15 W. 16th St.,40.73795995,-73.99379427
American Jewish Historical Society,(212) 294-6160,http://www.ajhs.org/,15 W. 16th St.,40.73801538,-73.9939289
Yeshiva University Museum,(212) 294-8330,http://www.yumuseum.org/,15 W. 16th St.,40.73804568,-73.99381737
Center For Jewish History,(212) 294-8301,http://www.cjh.org,15 W. 16th St.,40.73798676,-73.99386877
