"","NAME","BORO","ZIP","TEL","TYPE","GRADE","LON","LAT","ADDRESS"
"36","BHATTI INDIAN GRILL","MANHATTAN",10016,"2126834229","Asian","",-73.983076,40.7422281,"100 LEXINGTON AVE, New York City"
"37","FAMOUS BEN'S PIZZA OF SOHO","MANHATTAN",10012,"2129664494","QuickMeal","A",-74.0023824,40.724973,"177 SPRING STREET, New York City"
"38","ESPACE","MANHATTAN",10036,"2129677003","American","",-73.9995588,40.7618116,"635 W 42ND ST, New York City"
"39","ABILENE","BROOKLYN",11231,"7185226900","American","A",-73.9977096,40.6789351,"442 COURT STREET, New York City"
"40","ZHENG FUZHOU CUISINE INC.","MANHATTAN",10002,"9177706686","Chinese","C",-73.9939002,40.7148867,"13B ELDRIDGE ST, New York City"
"41","SUSHI STAR","MANHATTAN",10018,"2122791010","Asian","A",-73.9951541,40.7544247,"462 9TH AVE, New York City"
"42","THE REDHEAD","MANHATTAN",10003,"2125336212","American","",-73.9833605,40.7309371,"349 EAST 13 STREET, New York City"
"43","CLINTON STREET BAKING COMPANY","MANHATTAN",10002,"6466026263","American","A",-73.9838228,40.7211907,"4 CLINTON STREET, New York City"
"44","MACONDO","MANHATTAN",10002,"2124739900","American","",-73.9892194,40.7228081,"157 EAST HOUSTON STREET, New York City"
"45","BOBBY VAN'S GRILL","MANHATTAN",10020,"2129575050","American","A",-73.9822828,40.7609173,"135 WEST   50 STREET, New York City"
"46","SABOR A MEXICO TAQUERIA","MANHATTAN",10009,"2125334002","Mexcian","A",-73.9842702,40.7285016,"160 1 AVENUE, New York City"
"47","CHIPOTLE MEXICAN GRILL","MANHATTAN",10014,"9172436043","Mexcian","A",-73.982577,40.669202,"405 6 AVENUE, New York City"
"48","NUCCI'S RESTAURANT","STATEN ISLAND",10310,"7188154882","Italian","",-74.1097497,40.6296623,"616 FOREST AVENUE, New York City"
"49","TEN FULL","QUEENS",11104,"7183618838","Chinese","A",-73.925119,40.7401849,"3949 48 AVENUE, New York City"
"50","THE ORIGINAL BLUE CANTINA","BRONX",10469,"3476027760","Mexcian","",-73.8394189,40.8810111,"3762 BOSTON ROAD, New York City"
"51","CAESAR'S PALACE","MANHATTAN",10024,"2127247886","QuickMeal","A",-73.9758278,40.7860813,"493 AMSTERDAM AVENUE, New York City"
"52","DOWNTOWN GALWAY HOOKER","MANHATTAN",10014,"2126756220","European","",-74.0019991,40.7345642,"133 7 AVENUE SOUTH, New York City"
"53","PANINI GRILL","MANHATTAN",10022,"2123004010","American","",-73.9656987,40.7551169,"937 1ST AVE, New York City"
"54","LITTLE BROWN JUG","QUEENS",11418,"7188469609","American","",-73.8263016,40.7006081,"12402 JAMAICA AVENUE, New York City"
"55","THE IMMIGRANT NYC","MANHATTAN",10003,"6463081724","American","A",-73.9853652,40.7285659,"341 EAST    9 STREET, New York City"
"56","AUNT BUTCHIES/ REVIVE BAR","QUEENS",11430,"6464775291","QuickMeal","A",-73.7781391,40.6413111,"0 JFK INTERNATIONAL AIRPORT, New York City"
"57","UMI SUSHI","QUEENS",11366,"7189698298","Asian","",-73.7905127,40.7263702,"17713 UNION TPKE, New York City"
"58","BOMBAY CURRY","BROOKLYN",11216,"7184842475","Asian","A",-73.9494186,40.6793006,"525 NOSTRAND AVENUE, New York City"
"59","THE GROTTO","MANHATTAN",10004,"2128096991","QuickMeal","A",-73.9362831,40.7913764,"69 NEW STREET, New York City"
"60","SUBWAY","BROOKLYN",11209,"7182387068","QuickMeal","",-73.9728946,40.7644711,"8421 5 AVENUE, New York City"
"61","BITE","MANHATTAN",10003,"2126773123","European","",-73.9861641,40.7331583,"211 EAST   14 STREET, New York City"
"62","DA MARINO RESTAURANT","MANHATTAN",10019,"2125416601","Italian","",-73.9853348,40.7609075,"220 W 49TH ST, New York City"
"63","DONUT CONNECTION","BROOKLYN",11220,"7182388921","American","",-73.9906003,40.7286208,"6830 3 AVENUE, New York City"
"64","GALLAGHER'S 2000","QUEENS",11101,"7183611348","American","",-73.9275075,40.745193,"4319 37 STREET, New York City"
"65","TOASTIES","MANHATTAN",10022,"7183097452","American","",-73.9684393,40.759463,"924 3RD AVE, New York City"
"66","MARKET PLACE (CENTERPLATE)","MANHATTAN",10001,"2122162426","American","",-74.0025907,40.757777,"655 WEST   34 STREET, New York City"
"67","12 CHAIRS","MANHATTAN",10012,"2122548640","American","",-74.0023324,40.7275129,"56 MACDOUGAL STREET, New York City"
"68","STARBUCKS COFFEE #23591","BROOKLYN",11210,"3475330430","Dessert","A",-73.9367369,40.622892,"1931 FLATBUSH AVE, New York City"
"69","CANNERY","MANHATTAN",10019,"2123972377","American","A",-73.9885782,40.7644474,"765 9 AVENUE, New York City"
"70","PAULS DA BURGER JOINT","MANHATTAN",10003,"2125293033","QuickMeal","B",-73.9880156,40.7285229,"131 2 AVENUE, New York City"
"71","BEST BAGEL & COFFEE","MANHATTAN",10001,"2125644409","QuickMeal","A",-73.9910861,40.7522683,"225 WEST 35 STREET, New York City"
"72","BROOKLYN BAGEL & COFFEE COMPANY","MANHATTAN",10001,"2129242824","QuickMeal","",-73.9974951,40.7461225,"286 8 AVENUE, New York City"
"73","NEW CHINA III","QUEENS",11377,"7186725300","Chinese","A",-73.906069,40.74526,"5814 ROOSEVELT AVE, New York City"
"74","GOOGLE CHELSEA MARKET","MANHATTAN",10011,"2125654428","American","B",-74.0060838,40.7425547,"75 9 AVENUE, New York City"
"75","THE KATI ROLL COMPANY","MANHATTAN",10018,"2127304280","Asian","",-73.9845828,40.7527891,"49 WEST   39 STREET, New York City"
"76","LEXINGTON CANDY SHOP","MANHATTAN",10028,"2122880057","American","",-73.9573006,40.7774954,"1226 LEXINGTON AVENUE, New York City"
"77","HIBACHI ON THE RUN","BROOKLYN",11212,"3477709732","Asian","",-73.920672,40.661157,"1143 CLARKSON AVE, New York City"
"78","FREEMANS (FREEMANS ALLEY)","MANHATTAN",10002,"2124200012","American","B",-73.992272,40.721989,"191 CHRYSTIE STREET, New York City"
"79","POMODORI","BROOKLYN",11225,"7184844817","Other","B",-73.9424243,40.6645883,"419 KINGSTON AVENUE, New York City"
"80","KOWLOON CAFE","BROOKLYN",11214,"7183331388","Chinese","",-73.9897592,40.5998222,"2365 86 STREET, New York City"
"81","DANNY'S TASTY TIPS","BROOKLYN",11203,"7184842181","Mexcian","A",-73.9310636,40.6551395,"778 LENOX ROAD, New York City"
"82","SUBWAY","MANHATTAN",10022,"2122078958","QuickMeal","",-73.9650967,40.7553319,"949 FIRST AVE, New York City"
"83","CARIBBEAN TOP GRILL","BROOKLYN",11210,"3472951385","Mexcian","A",-73.9476507,40.6348693,"2077 NOSTRAND AVENUE, New York City"
"84","EARL OF SANDWICH","MANHATTAN",10104,"2122479246","American","A",-73.978872,40.7604895,"1290 AVENUE OF THE AMERICAS, New York City"
"85","DARBARS HALAL FRIED CHICKEN & BBQ RIBS","QUEENS",11419,"7185294900","Chinese","",-73.8181671,40.6887561,"12609 LIBERTY AVENUE, New York City"
"86","FLAVORS CORNER","QUEENS",11101,"7183611616","American","A",-73.9452784,40.7552237,"1018 41ST AVE, New York City"
"87","VAPIANO","MANHATTAN",10003,"2127779477","Italian","",-73.992127,40.7342879,"113 UNIVERSITY PLACE, New York City"
"88","TONG SAM GYUP GOO YI RESTAURANT","QUEENS",11358,"7183594583","Asian","",-73.8030154,40.7621463,"16223 DEPOT ROAD, New York City"
"89","HALE & HEARTY SOUP","MANHATTAN",10011,"2122552400","QuickMeal","",-74.0060838,40.7425547,"75 9 AVENUE, New York City"
"90","FRIENDS SPORTS BAR","BRONX",10462,"3478515788","American","B",-73.8549088,40.835813,"1448 OLMSTEAD AVENUE, New York City"
"91","B.A.M. CAFE/GREAT PERFORMANCES","BROOKLYN",11217,"7186237811","American","A",-73.9776999,40.6864669,"30 LAFAYETTE AVENUE, New York City"
"92","ASIAN WOK","MANHATTAN",10038,"2127660821","Chinese","",-74.0058365,40.7091006,"88 FULTON ST, New York City"
"93","MASAWA","MANHATTAN",10027,"2126630505","Other","",-73.9585846,40.8097806,"1239 AMSTERDAM AVENUE, New York City"
"94","FEDORA","MANHATTAN",10014,"6464499336","American","",-74.0028946,40.7345315,"239 WEST    4 STREET, New York City"
"95","CASSIDY'S PUB","MANHATTAN",10019,"2123970814","European","A",-73.9771995,40.7628464,"65 WEST   55 STREET, New York City"
"96","SUPER POLLO","BROOKLYN",11232,"7188715700","Other","",-73.9635974,40.7771822,"4102 5 AVENUE, New York City"
"97","NAVY","MANHATTAN",10012,"2125331137","American","",-74.0018224,40.7268036,"137 SULLIVAN ST, New York City"
"98","CHARLEY MOM KITCHEN","MANHATTAN",10028,"2124396363","Chinese","",-73.948178,40.7740391,"1580 YORK AVENUE, New York City"
"99","AREPAS CAFE","QUEENS",11106,"7189373835","American","A",-73.9277103,40.7558183,"3307 36TH AVE, New York City"
"100","KINGSTON PIZZA","BROOKLYN",11213,"7187747665","QuickMeal","",-73.9418589,40.6708481,"259 KINGSTON AVENUE, New York City"
"101","NEW PHOENIX","STATEN ISLAND",10304,"7188180105","Chinese","A",-74.0849579,40.6153882,"480 TARGEE STREET, New York City"
"102","THE RIBBON","MANHATTAN",10023,"2127875656","American","A",-73.9774548,40.7765601,"20 W 72ND ST, New York City"
"103","SUPER 403 CHINESE RESTAURANT","BROOKLYN",11218,"7188510403","Chinese","A",-73.9763737,40.6442616,"403 CHURCH AVENUE, New York City"
"104","TRATTORIA LUCIA","QUEENS",11426,"7183432185","Italian","",-73.718885,40.7259478,"24763 JAMAICA AVENUE, New York City"
"105","RAVAGH PERSIAN GRILL","MANHATTAN",10003,"2123350207","Asian","B",-73.9857329,40.7274097,"125 1ST AVE #127, New York City"
"106","DUNKIN' DONUTS","MANHATTAN",10034,"2129424351","QuickMeal","A",-73.918,40.866193,"3936 10 AVENUE, New York City"
"107","AITA RESTAURANT/MAYFLOWER","BROOKLYN",11238,"7185763584","Italian","",-73.9665911,40.6864449,"132 GREENE AVENUE, New York City"
"108","MCDONALD'S","QUEENS",11357,"7187466063","QuickMeal","C",-73.802319,40.780748,"16011 WILLETS POINT BOULEVARD, New York City"
"109","HERALD SQUARE MARKET","MANHATTAN",10018,"2122443484","American","",-73.9926544,40.6586612,"968 6 AVENUE, New York City"
"110","MIGDALIA PLACE","BROOKLYN",11206,"9178374817","American","",-73.9442368,40.6984783,"190 THROOP AVENUE, New York City"
"111","KFC","MANHATTAN",10025,"2126659430","American","",-73.9682766,40.8013318,"2755 BROADWAY, New York City"
"112","PORTO BELLO PIZZERIA & RESTAURANT","QUEENS",11105,"7182048766","QuickMeal","A",-73.9042288,40.7705082,"43-18 DITMARS BLVD, New York City"
"113","HAAGEN-DAZS","MANHATTAN",10065,"2122885200","Dessert","A",-73.9592901,40.7628988,"1188 1 AVENUE, New York City"
"114","SHELLYS IRISH DELI","QUEENS",11378,"7184240429","European","A",-73.8987262,40.7248709,"5634 66TH ST, New York City"
"115","PACO'S TACOS PLUS","BROOKLYN",11228,"7182348226","Mexcian","",-74.009535,40.6111114,"1504 86TH ST, New York City"
"116","FAMILY PIZZA","BROOKLYN",11225,"7184620639","QuickMeal","A",-73.9601721,40.6558571,"720 FLATBUSH AVENUE, New York City"
"117","SHEAS EMERALD","BRONX",10468,"7183649924","European","A",-73.8894032,40.8726919,"2960 JEROME AVENUE, New York City"
"118","5BAR KARAOKE","MANHATTAN",10001,"2125946644","Asian","",-73.9874152,40.7477712,"38 WEST   32 STREET, New York City"
"119","NAGOYA SUSHI","BROOKLYN",11229,"7183363688","Asian","B",-73.9544815,40.610555,"1907 KINGS HIGHWAY, New York City"
"120","CRAVE","QUEENS",11103,"7187264976","European","",-73.9170328,40.7652343,"2855 36 STREET, New York City"
"121","EL PASO RESTAURANTE MEXICANO","MANHATTAN",10029,"2128319831","Mexcian","B",-73.9471365,40.7906846,"1643 LEXINGTON AVENUE, New York City"
"122","LATINO RESTAURANT","BRONX",10454,"3479189980","American","",-73.9199166,40.8075587,"494 EAST  138 STREET, New York City"
"123","NAGLE BAKERY","MANHATTAN",10040,"6464769462","QuickMeal","",-73.9269232,40.8606734,"121B NAGLE AVENUE, New York City"
"124","HARDING'S","MANHATTAN",10010,"2126002105","American","A",-73.9887809,40.7392836,"32 EAST 21 STREET, New York City"
"125","CAFE 232","BROOKLYN",11205,"7186381750","Asian","",-73.9596293,40.6909248,"232 TAAFFE PLACE, New York City"
"126","HERB N' KITCHEN MARKET","MANHATTAN",10017,"2122973577","American","",-73.9719069,40.7494205,"304 EAST   42 STREET, New York City"
"127","BAYOU","STATEN ISLAND",10305,"7182734383","French","A",-74.0683826,40.6168075,"1072 BAY STREET, New York City"
"128","JODY'S CLUB","STATEN ISLAND",10301,"7187276338","American","A",-74.1018183,40.6308214,"372 FOREST AVENUE, New York City"
"129","NURNBERGER BIERHAUS","STATEN ISLAND",10310,"7188167461","European","B",-74.1096127,40.6349032,"817 CASTLETON AVENUE, New York City"
"130","LA NOSTRA PIZZERIA","MANHATTAN",10029,"2123607453","QuickMeal","A",-73.940172,40.793151,"2146 2 AVENUE, New York City"
"131","LUPE'S EAST L.A. KITCHEN","MANHATTAN",10013,"2129661326","Mexcian","B",-74.0045136,40.7236625,"110 AVENUE OF THE AMERICAS, New York City"
"132","CAFE BENCH","QUEENS",11358,"7182240703","American","A",-73.7871903,40.7579166,"19409 NORTHERN BOULEVARD, New York City"
"133","PARAISO AZTECA RESTAURANT","BROOKLYN",11229,"7189989860","Mexcian","",-73.9571216,40.6085947,"1681 EAST   16 STREET, New York City"
"134","NEW YORK DELI","QUEENS",11101,"7187293464","QuickMeal","B",-73.9494009,40.7405538,"2109 BORDEN AVENUE, New York City"
"135","Baby's Grill and Restaurant","QUEENS",11377,"7184408121","Asian","",-73.8965902,40.7461067,"6828 ROOSEVELT AVE, New York City"
"136","MCDONALD'S","MANHATTAN",10023,"2127240435","QuickMeal","A",-73.9825668,40.7779191,"2049 BROADWAY, New York City"
"137","WAT'S ON YOUR PLATE","MANHATTAN",10031,"2122344411","Mexcian","",-73.948381,40.825871,"513 WEST  145 STREET, New York City"
"138","GINO'S PIZZERIA","STATEN ISLAND",10302,"7182730945","Italian","",-74.1355321,40.6262426,"1351 FOREST AVENUE, New York City"
"139","THE CLAM","MANHATTAN",10014,"2122427420","American","A",-74.0065674,40.7303199,"420 HUDSON ST, New York City"
"140","AUREOLE","MANHATTAN",10036,"2123191660","American","A",-73.9852848,40.7555892,"135 WEST   42 STREET, New York City"
"141","THE SHOREHAM HOTEL","MANHATTAN",10019,"2122476700","American","A",-73.9763631,40.7624988,"33 WEST   55 STREET, New York City"
"142","CHUCK E. CHEESE'S","MANHATTAN",10027,"2122229772","QuickMeal","",-73.9527649,40.8101402,"280 ST NICHOLAS AVENUE, New York City"
"143","WENDY'S","STATEN ISLAND",10303,"7189812102","QuickMeal","",-74.147417,40.6253047,"1761 FOREST AVENUE, New York City"
"144","SOPHIE'S CUBAN CUISINE","MANHATTAN",10007,"2126089900","European","",-74.0076468,40.7145911,"96 CHAMBERS STREET, New York City"
"145","THE HIDEOUT","BROOKLYN",11209,"7188364314","American","A",-73.9728946,40.7644711,"8415 5TH AVE, New York City"
"146","THE OOH LALA  LOUNGE","BROOKLYN",11233,"9174008384","Other","",-73.9193122,40.6741168,"391 HOWARD AVE, New York City"
"147","FINO","QUEENS",11361,"7182291330","QuickMeal","",-73.771381,40.764961,"3913 BELL BOULEVARD, New York City"
"148","AKIMOTO SUSHI","MANHATTAN",10007,"2127663351","Asian","A",-74.0069603,40.7157374,"187 CHURCH STREET, New York City"
"149","CHALAIT","MANHATTAN",10001,"2129290266","Dessert","",-73.9882579,40.7465011,"1214 BROADWAY, New York City"
"150","SAN MARCO PIZZERIA","BROOKLYN",11211,"7183874861","Italian","",-73.9496269,40.7142498,"577 LORIMER STREET, New York City"
"151","FIVE BROTHERS PIZZA PLACE","BROOKLYN",11223,"7186481600","QuickMeal","",-73.9609932,40.5920209,"2650 CONEY ISLAND AVE, New York City"
"152","AU BON PAIN","MANHATTAN",10001,"2122445573","QuickMeal","A",-73.9895261,40.7507917,"151 WEST   34 STREET, New York City"
"153","PATES PLUS BAKERY","QUEENS",11429,"7184689868","QuickMeal","",-73.7351326,40.7167414,"9715 SPRINGFIELD BOULEVARD, New York City"
"154","SHUN FOOK CHINESE RESTAURANT","QUEENS",11420,"7188437074","Chinese","B",-73.8206948,40.670218,"13507 LEFFERTS BOULEVARD, New York City"
"155","NEW FOREST CAFE","BROOKLYN",11214,"7183318833","Dessert","",-74.0001399,40.6143564,"7617 NEW UTRECHT AVE, New York City"
"156","TURKISH GRILL RESTAURANT & BAR","QUEENS",11104,"7183923838","Other","C",-73.9221448,40.74387,"4203 QUEENS BOULEVARD, New York City"
"157","MCDONALD'S","BRONX",10452,"7184109150","QuickMeal","A",-73.9155153,40.8397046,"101 EAST  170 STREET, New York City"
"158","DUNKIN' DONUTS, BASKIN ROBBINS","QUEENS",11417,"7188430400","American","A",-73.8451497,40.6810837,"9405 ROCKAWAY BOULEVARD, New York City"
"159","PAPA JOHN'S","MANHATTAN",10128,"2129964444","QuickMeal","A",-73.94946,40.7803979,"301 EAST   90 STREET, New York City"
"160","B.Q.E. CAFE BILLIARDS","QUEENS",11372,"7187794348","American","A",-73.8958229,40.752156,"7002 34 AVENUE, New York City"
"161","MACDOUGAL STREET ALE HOUSE","MANHATTAN",10012,"2122540006","American","B",-74.0003129,40.7298583,"122 MACDOUGAL STREET, New York City"
"162","CUPOLA SAMARKANDA","BROOKLYN",11230,"7183757777","Other","A",-73.9727521,40.60913,"1797 MCDONALD AVENUE, New York City"
"163","CENTER PLATE- CONCOURSE CAFE-JACOB K JAVITS CONVENTION CENTER","MANHATTAN",10001,"2122162404","Dessert","A",-74.0025907,40.757777,"655 W 34TH ST, New York City"
"164","ZHENG FUZHOU CUISINE INC.","MANHATTAN",10002,"9177706686","Chinese","",-73.9939002,40.7148867,"13B ELDRIDGE ST, New York City"
"165","SUBWAY","BRONX",10451,"6469155540","QuickMeal","",-73.9253745,40.8207116,"650 GRAND CONCOURSE, New York City"
"166","WILLIAM GREENBERG JR DESSERTS","MANHATTAN",10028,"2128611340","Dessert","",-73.960608,40.7787515,"1100 MADISON AVENUE, New York City"
"167","BEACH STREET EATERY","MANHATTAN",10013,"7184404636","American","",-74.0095909,40.7208391,"57 BEACH STREET, New York City"
"168","SUBWAY","QUEENS",11369,"7182052568","QuickMeal","",-73.8819333,40.7638536,"8704 ASTORIA BLVD, New York City"
"169","TIM HORTONS","STATEN ISLAND",10305,"7186900783","Other","",-74.0886833,40.5904735,"1562 HYLAN BOULEVARD, New York City"
"170","ROW NYC","MANHATTAN",10036,"2128693600","American","",-73.9874449,40.7586655,"270 W 45 ST, New York City"
"171","DUNKIN' DONUTS, BASKIN ROBBINS","MANHATTAN",10036,"2129334630","QuickMeal","",-73.9816849,40.7550559,"25 WEST   43 STREET, New York City"
"172","DUMPLING GO","MANHATTAN",10003,"2122288855","Asian","A",-73.9857772,40.730823,"188 2ND AVE, New York City"
"173","TASTE OF LAHORE","QUEENS",11372,"3476241294","Asian","A",-73.8933021,40.7545178,"7310 NORTHERN BOULEVARD, New York City"
"174","GOOD FORTUNE RESTAURANT","QUEENS",11355,"7188888998","Chinese","",-73.8177395,40.7497707,"4645 KISSENA BOULEVARD, New York City"
"175","WING HING SEAFOOD RESTAURANT","BROOKLYN",11229,"7189980360","Chinese","",-73.9596307,40.5987028,"1217 AVENUE U, New York City"
"176","CENTRAL CAFE SENECA","QUEENS",11385,"9179023701","Dessert","A",-73.912125,40.705716,"487 SENECA AVE, New York City"
"177","WITLOF","BROOKLYN",11249,"3479874305","European","A",-73.9615859,40.7143927,"292 BEDFORD AVENUE, New York City"
"178","MILENIO BAKERY","MANHATTAN",10029,"6464769530","QuickMeal","",-73.9422802,40.7952754,"2030 THIRD AVE, New York City"
"179","SHELLYS IRISH DELI","QUEENS",11378,"7184240429","European","",-73.8987262,40.7248709,"5634 66TH ST, New York City"
"180","ALOBAR RESTAURANT","QUEENS",11101,"7187526000","American","C",-73.9533066,40.7457862,"4642 VERNON BOULEVARD, New York City"
"181","IMPERIAL PALACE","QUEENS",11354,"7183580888","Chinese","",-73.8306391,40.7618767,"13613 37 AVENUE, New York City"
"182","CIRO PIZZA CAFE","STATEN ISLAND",10312,"7186050620","Italian","A",-74.1927838,40.5333005,"862 HUGUENOT AVENUE, New York City"
"183","KENNEDY FRIED CHICKEN","BRONX",10467,"7186640303","Chinese","",-73.8673621,40.8718432,"3211A WHITE PLAINS RD, New York City"
"184","BOB'S STEAK & CHOP HOUSE","MANHATTAN",10022,"2127545031","American","B",-73.9749476,40.7594267,"21 EAST   52 STREET, New York City"
"185","AMADEUS","QUEENS",11375,"9175685140","Other","A",-73.8493872,40.7325186,"6419 108 STREET, New York City"
"186","THE CAPITAL GRILLE","MANHATTAN",10271,"2123741811","American","",-74.0104896,40.7082363,"120 BROADWAY, New York City"
"187","MOLCAJETE","QUEENS",11372,"7188991200","Mexcian","",-73.874088,40.7488482,"9213 ROOSEVELT AVENUE, New York City"
"188","TARTINE","MANHATTAN",10014,"2122292611","Other","",-74.0034548,40.7363457,"253 WEST   11 STREET, New York City"
"189","CHIPOTLE MEXICAN GRILL","MANHATTAN",10012,"6469375202","Mexcian","",-73.997427,40.722675,"71 SPRING STREET, New York City"
"190","BEKY BAKERY AND COFFEE SHOP","QUEENS",11368,"7183970329","European","",-73.86366,40.751216,"3778 103 STREET, New York City"
"191","SWEET AFTON","QUEENS",11103,"7187772570","American","",-73.9190267,40.7653878,"3009 34 STREET, New York City"
"192","CASCABEL TAQUERIA","MANHATTAN",10025,"2126651500","Mexcian","B",-73.9680575,40.8028278,"2799 BROADWAY, New York City"
"193","DA NOI","MANHATTAN",10017,"2127545710","Italian","A",-73.9706971,40.7547549,"214 EAST   49 STREET, New York City"
"194","ATHENA MEDITERRANEAN CUISINE","BROOKLYN",11215,"7189654578","European","A",-73.9863899,40.6648302,"535 6 AVENUE, New York City"
"195","LYCHEE HOUSE","MANHATTAN",10022,"2127533900","Chinese","B",-73.9694102,40.759509,"141 EAST 55 STREET, New York City"
"196","PEACHES","BROOKLYN",11233,"7189424162","Other","",-73.9347026,40.6816671,"393-403 LEWIS AVENUE, New York City"
"197","SUBWAY","BROOKLYN",11232,"7185763802","QuickMeal","A",-73.9973177,40.6607693,"731 4TH AVE, New York City"
"198","AMC THEATRES","QUEENS",11360,"7186310382","American","A",-73.778853,40.7794457,"21101 26 AVENUE, New York City"
"199","AMINA THAI","QUEENS",11432,"7188801804","Asian","",-73.7922069,40.7107537,"16922 HILLSIDE AVE, New York City"
"200","AUNTIE ANNE'S PRETZELS","MANHATTAN",10001,"2122396882","QuickMeal","A",-73.98449,40.7484051,"0 34 STREET, New York City"
"201","STARBUCKS","MANHATTAN",10018,"2129210827","Dessert","",-73.9869878,40.7522494,"1372 BROADWAY, New York City"
