NAME,GRADE,ADDRESS,ZIPCODE,RATING,PRICE,LAT,LON,CUISINE,TAG,TEL
PEKING EXPRESS,A,PARSONS BLVD,11432,3,$,40.7075211,-73.8024661,Chinese,chicken chinese delivery fried wings people,17182063333
FULEEN PALACE,A,COLEMAN SQ,11414,3,$,40.65988,-73.83055,Chinese,fried rice chinese chicken beef palace,17188485877
ALIN SUSHI II,A,CHRYSTIE STREET,10002,3.5,$$,40.71651,-73.99503,Asian,roll sushi delivery spicy hand price,16469227282
FUEL GRILL AND JUICE BAR,A,9TH AVE,10036,3,$$,40.76181,-73.9904,American,fuel smoothie chicken healthy juice options,12126494664
POMODORO RISTORANTE,C,COLUMBUS AVENUE,10023,3.5,$$,40.776317,-73.979187,European,italian pasta bread friendly service dish,12127213009
RIVOLI PIZZA RESTAURANT,,7 AVENUE SOUTH,10014,3.5,$,40.736145,-74.0015335,Pizza,pizza slice rivoli bad crust friendly,12126912704
SACHI ASIAN THAI,A,2ND AVE,10016,3,$$,40.747635,-73.974056,Asian,roll sushi menu service xathe nice,12122971880
GULSHAN TERRACE,A,37 AVENUE,11377,4,,40.7498753,-73.9027518,Asian,accommodating appetisers dinner event hard plastic,17184574577
NICK'S LOBSTERS,A,FLATBUSH AVENUE,11234,3,$$,40.60358572,-73.91521594,Other,lobster seafood taste nicks view water,17182537117
BELLINI,A,COLUMBUS AVE,10024,3.5,$$,40.78457,-73.97317,European,italian pasta pizza wine service bellini,12127244615
LI'S GARDEN,,MAIN ST,11355,3,$$,40.7531,-73.8269,Chinese,chinese dish busy friendly portions hang,17183592108
ANGELO'S PIZZERIA,A,WEST   57 STREET,10019,4,$$,40.76492,-73.97794,Pizza,pizza pie xathe friendly service slice,12123334333
BLUE HILL RESTAURANT,,WASHINGTON PLACE,10011,4.5,$$$$,40.73206403,-73.9996931,American,dish hill menu taste blue dining,12125391776
PLAZA DELI,A,JOHN STREET,10038,3.5,$,40.70727616,-74.00500335,Other,sandwich bar salad deli hot lunch,12129437735
I LAND FISH & GRILL,B,FLATLANDS AVE,11236,4,$$,40.63537,-73.91382,Latin,seafood change dry jerk salmon service,17184446812
VAN LEEUWEN ICE CREAM,B,WYTHE AVE,11249,4,$$,40.7183199,-73.9618911,Drink&Sweets,cream ice flavor vegan chocolate friendly,19293376907
RESTAURANT TATIANA,A,BRIGHTON 6TH ST,11235,3,$$$$,40.575449,-73.961439,European,russian potatoes beach dish drinks service,17188915151
RONDEL,A,CONEY ISLAND AVE,11223,4.5,$$,40.60828,-73.9626,European,delicious ukrainian service birthday music amazing,13473719276
NATIONAL BAKERY,A,WESTCHESTER AVENUE,10472,3.5,$,40.82847,-73.87885,QuickMeal,slice win cake coffee cuban disappointed,17188422396
SHUN WON RESTAURANT,A,BROADWAY,11373,3.5,$,40.74313736,-73.88304138,Chinese,rice noodles roasted congee pork duck,17187793330
PROFESSOR THOM'S,,2 AVENUE,10003,3.5,$$,40.73204,-73.9854299,American,bar game friendly pretty bartender im,12122609480
ISTANBUL BAY,A,5TH AVE,11209,4.5,$$,40.62574793,-74.02433523,European,bread appetizer bay turkish delicious meal,19292922353
LA BAGAGUETTE SHOP,A,LINDEN BLVD,11411,3.5,$,40.7128001,-73.7684893,QuickMeal,patties bakery haitian croissant fish beef,17184682525
LA GATA GOLOSA BAKERY CAFE,A,BROADWAY,11106,4,$,40.7621022,-73.9259969,Latin,eat friendly quick beans breakfast broadway,17188061493
AMC THEATRES,A,BARTOW AVENUE,10475,2,,40.86692757,-73.8250847,American,movie theater seating line ticket amc,17183201659
GOODFELLA'S PIZZERIA,A,HYLAN BOULEVARD,10305,4,$$,40.586785,-74.091438,European,pizza vodka friendly goodfellas pie sauce,17189872422
CALIBELLA BAKERY,A,WYCKOFF AVENUE,11237,4.5,$,40.70221,-73.91631,QuickMeal,cheese bread guava amazing pan bakery,17184973614
LUZZO'S LA PIZZA NAPOLETANA,,1ST AVE,10003,4,$$,40.730551,-73.9834846,European,pizza pie bit italian friendly xa,12124737447
RIVER DOCK BAR & GRILL,,RICHMOND TER,10301,2.5,$$,40.64459309,-74.07321131,American,drinks ferry view island lobster price,17182730809
MOFONGO EL MOCANO RESTAURANT AND LOUNGE,A,MORRIS AVE,10456,3,$$,40.828643,-73.9171029,Latin,mofongo wait service minutes waiter attended,17185885103
SABI SUSHI,A,NEW YORK PLZ,10004,2,$$,40.702064,-74.012242,Asian,sushi noodles broth roll taste expect,16468632374
ARMANDO'S POLLO RICO RESTAURANT,B,JAMAICA AVENUE,11418,3.5,$$,40.6963294,-73.8376707,Latin,chicken fried service rice sauce green,17184418441
EL NUEVO TENAMPA RESTAURANTE,A,WEBSTER AVE,10458,4,,40.86579786,-73.88615292,Latin,fresh chicken black bronx burrito culinary,17182200600
EMILIO'S PIZZA,A,WEST KINGSRIDGE ROAD,0,4,$,40.86799,-73.90049,Pizza,pizza slice pepperoni pie cheese bronx,17185633665
SOB's,A,VARICK STREET,10014,3.5,$$,40.728407,-74.0052,Latin,sobs music bar venue table event,12122434940
SHIMONS KOSHER PIZZA,A,MAIN STREET,11367,3,$,40.7272495,-73.8223971,Other,pizza kosher slice shimons spinach calzone,17187931491
ABBRACADABRA MAGIC DELI,A,KNICKERBOCKER AVE,11237,4.5,,40.70359,-73.92727,Other,super options coffee friendly menu swing,13474138644
THE GRAND PROSPECT HALL,A,PROSPECT AVENUE,11215,3,,40.66358516,-73.98963422,American,wedding grand hall event prospect guests,17187880777
KINFOLK STUDIOS,A,WYTHE AVE.,11249,3.5,$$,40.72175598,-73.95833588,American,kinfolk drinks people bar night pay,13477992946
BESO,,SCHUYLER ST,10301,4,$$,40.64338255,-74.07691008,European,tapas wine beso dinner drinks nice,17188168162
GOLDEN WAY CHINESE RESTAURANT,A,CROSS BAY BOULEVARD,11417,3.5,$,40.67507,-73.842849,Chinese,chinese chicken fried thai rice shrimp,17188458899
GREGORYS COFFEE,A,BROADWAY,10012,4,$$,40.72689,-73.99575,Coffee,coffee gregorys bar pastries balls breakfast,16464787258
DENINO'S PIZZERIA TAVERN,A,PORT RICHMOND AVENUE,10302,4,$$,40.63022667,-74.14027549,Pizza,pizza island crust deninos perfect sauce,17184429401
FRAMBOISE BAKESHOP,A,DRY HARBOR ROAD,11379,3.5,$$,40.7185,-73.8724,QuickMeal,cake bakery cookies pastries owner framboise,17183261579
T.J.'S SPORTS BAR,A,FRESH POND ROAD,11378,1,$,40.71549,-73.90176,American,bar shitty maspeth stars armpit basically,17188218312
THE BLUEBELL CAFE,A,3 AVENUE,10010,4,$$,40.73845,-73.98321,American,brunch delicious friendly egg love service,16466492389
AKO JAPANESE RESTAURANT,,BEDFORD AVE,11211,4,$$,40.7169049,-73.9585858,Asian,sushi roll fresh service spicy decided,17183022035
NIMBOODA INDIAN CUISINE,A,WASHINGTON AVE,11238,4,$$,40.67825,-73.96419,Asian,chicken flavor indian service dish friendly,17186224616
EAT HERE NOW,A,LEXINGTON AVENUE,10065,2.5,$$,40.7651085,-73.9658772,American,diner service waitress walked bacon friendly,12127510724
INDUSTRY,A,WEST   52 STREET,10019,2.5,$$,40.76449,-73.98687,American,bar bouncer drinks dance people industry,16464762747
FELICE,A,1 AVENUE,10028,3.5,$$$,40.7748027,-73.95113,European,bar felice wine drinks nice cocktails,12122494080
CARIBBEAN VIBES JAMAICAN RESTAURANT AND BAKERY,A,NOSTRAND AVENUE,11226,2.5,$$,40.651219,-73.949916,Latin,customer service wait rude chicken prepared,13476639085
GO GO CURRY,A,JOHN STREET,10038,4,$,40.7098966,-74.0090997,Asian,curry katsu pork quick rice chicken,12124065555
NEW GRACE CHINESE RESTAURANT,A,MYRTLE AVE,11205,3,$,40.6933,-73.96569,Chinese,chinese stars chicken fried rice grace,17187896296
CHINA MOON OPEN KITCHEN,A,CROPSEY AVE,11214,4.5,,40.590787,-73.991399,Chinese,chinese chicken fried owner pork rice,17184494088
JOYCE BAKESHOP,A,VANDERBILT AVENUE,11238,4,$$,40.67704252,-73.96933884,European,coffee love cookies pastries service delicious,17186237470
NEW MOON CHINESE RESTAURANT,Z,3RD AVE,10016,4,$$,40.74692,-73.97766,Chinese,chinese chicken soup special dish hot,12127792828
SEASHORE RESTAURANT,A,CITY ISLAND AVE,10464,3,$$$,40.854201,-73.790912,Other,seafood lobster service crab shrimp bread,17188850300
COMMONS CAFE,B,TELEPORT DRIVE,10314,3,$$,40.60544,-74.17962,American,salad price wrap horrible chicken service,13474664207
NAGOYA,A,86TH ST,11214,3.5,$$,40.60511019,-73.9993923,Asian,roll delivery salmon sushi fresh service,17189758889
YUMMY YUMMY BROOKLYN,A,ROCKAWAY PARKWAY,11236,4,$,40.646978,-73.903965,Chinese,delivery ive customer yummy ago called,17189272900
MIRRORS ON GRAND,A,GRAND AVENUE,11238,4,$,40.68822612,-73.96293394,American,bar drinks friendly mirrors bartender owner,17186222277
HELLO BROOKLYN,,UNION AVE,11211,3.5,$$,40.7074739,-73.9503831,American,burger cheese bartender brunch fried wings,13479873008
AN CHOI,,ORCHARD STREET,10002,3.5,$$,40.71798,-73.99042,Asian,pho fried beef roll broth taro,12122263700
BAREBURGER,A,AUSTIN STREET,11375,4,$$,40.71974,-73.84298,American,burger fried bareburger chicken menu friendly,17182752273
SUBWAY,A,PORT RICHMOND AVENUE,10302,2.5,,40.62520655,-74.14488015,QuickMeal,ham bacon meat told sandwich double,17187276222
CARIDAD RESTAURANT,Z,WESTCHESTER AVE,10472,1.5,$,40.82919228,-73.87560882,European,served puerto rican service attitude chicken,19174737700
DOMINO'S,A,WESTCHESTER AVENUE,10462,1.5,$$,40.83372323,-73.85690843,Pizza,pizza called manager driver farted phone,17185188770
BLT STEAK,A,EAST 57 STREET,10022,4,$$$$,40.761162,-73.970335,Other,steak enjoyed love delicious service nice,12127527470
POLLOS A LA BRASA MARIO,A,WOODSIDE AVENUE,11377,3.5,$$,40.744736,-73.9024073,European,pollo mario chicken fried eat love,17182059898
HORUS TOO,,WEST   46 STREET,10036,2.5,$$,40.76121,-73.9919,Other,hookah drinks water friendly night service,12129569661
RESIDENCE INN BY MARRIOTT BRONX,B,EASTCHESTER RD,10461,4.5,$$,40.8493305,-73.842538,American,hotel clean nice stay breakfast free,17182393939
69th Coffee Shop,A,69TH ST,11377,3.5,$,40.736729,-73.895592,Latin,service lunch breakfast salad soup table,13476428226
BIRCH,A,COLUMBUS AVE,10025,4.5,$,40.72654,-73.99956,Coffee,coffee shop barista table birch chai,12126861444
24 HOUR FITNESS CLUB #289,,KINGS HWY,11223,2,,40.60741802,-73.96233761,Drink&Sweets,floor xa gym clean locker xai,17183769444
MR. WONTON,A,7TH AVE,11217,3.5,$$,40.67517,-73.97481,Chinese,xa wonton chinese delicious chicken dish,17183987088
FORTUNE GARDEN,A,GRAND AVE,11378,2.5,$,40.72701,-73.89401,Chinese,chicken chinese rice taste delivery disgusting,17187797383
DOS CAMINOS,A,BROADWAY,10036,3.5,$$,40.7593727,-73.9853281,Latin,tacos guacamole square times chicken meal,12129181330
ALLORA,A,E 47TH ST,10017,4.5,$$$,40.75433,-73.97277,European,waiter nice service pasta italian cheese,12127549800
EL SANCHO MEXICAN TORTERIA,A,AVENUE U,11223,4,,40.59655099,-73.97914722,Latin,delivery mexican delicious im sandwich spot,13475874996
LOKI BAR & BENCHMARK RESTAURANT,A,5 AVENUE,11215,4,$$,40.673937,-73.983064,American,loki bar menu drinks fried friendly,17189659600
PASTAFINA,A,LEXINGTON AVE,10065,2.5,$,40.766368,-73.965461,Pizza,pizza slice salad pasta top cheese,12125356240
RIN THAI CUISINE,A,WEST   23 STREET,10011,3.5,$$,40.74524,-73.99764,Asian,thai chicken noodles nice lunch xathe,12126752988
MARUMI,A,LA GUARDIA PLACE,10012,4,$$,40.7289699,-73.99837,Asian,service sushi fresh friendly sashimi tea,12129797055
PADDY MAGUIRE'S ALE HOUSE,A,THIRD AVENUE,10003,4,$,40.73642404,-73.98484631,Drink&Sweets,bar christmas decor bartender friendly pub,12122530031
PADOCA BAKERY,A,E 68TH ST,10065,4,$,40.7654836,-73.9581354,QuickMeal,bakery pdq cheese de bread queijo,12123004543
CASCABEL TAQUERIA,B,2ND AVE,10028,3.5,$$$,40.773983,-73.954178,Latin,burrito nice menu beans beef brunch,12127177800
LABELLA FERRARA,A,MULBERRY STREET,10013,4,$,40.7173118,-73.9982466,QuickMeal,cannoli bakery flavor italy delicious pastries,12129667867
PEACHES SHRIMP AND CRAB,A,CLIFTON PLACE,0,4,$$,40.6879838,-73.9625478,American,crab fried shrimp peach legs grits,17186389500
MIKE'S ISLAND GRILL RESTAURANT,A,EAST 98 STREET,11212,3,$,40.65984743,-73.91745272,Latin,jerk rice chicken drinks ginger fish,17183463494
GLEN ROY BAR AND GRILL,A,EAST  149 STREET,10451,4.5,$,40.8926366,-74.03195751,American,bar drinks typical stop love night,17189939804
NEGRIL,A,WEST    3 STREET,10012,3.5,$$,40.729352,-73.9983558,Latin,drinks jerk oxtail service chicken love,12124772804
CONNECTICUT MUFFIN,A,PROSPECT PARK WEST,11215,3,$,40.6607736,-73.98028328,QuickMeal,muffin coffee bagel latte chai customer,17189652067
BEA,,W 43RD STREET,10036,4,$$,40.7591968,-73.9923361,American,brunch dish menu delicious nice bottomless,12126021910
SUGARDADDY'S,A,27TH ST,11101,3.5,$$,40.739529,-73.9426222,American,club friendly girl dance nice bartender,17187069600
HAPPY HOUSE SEAFOOD RESTAURANT,Z,8TH AVE,11220,3.5,$,40.64090729,-74.00429535,Chinese,bun meat speak bao 我 chinese,17188718893
LOS COMPADRES RESTAURANT,A,3 AVENUE,11220,4.5,,40.64496,-74.01785,Latin,beer chicken im nice pretty price,17184393727
ROTI ROLL / SUITE,,AMSTERDAM AVENUE,10025,4,$,40.8026,-73.96437,Asian,roll roti chicken frankie indian fried,12126661500
SABROSURA DOMINICANA RESTAURANT,A,48 AVENUE,11377,3.5,$,40.7388916,-73.9181366,European,dominican im pollo delicious ive lunch,13478080258
J & R's DOSA GARDEN,A,VICTORY BLVD,10301,4,$$,40.63432693,-74.08577728,Asian,dosa delivery chicken delicious garden love,17184200919
HIBERNIA,A,WEST   50 STREET,10019,4.5,$$,40.76365,-73.9890999,European,bar sports irish steelers friendly crowded,12129699703
CAFE LA MORENA & DELI,A,3 AVENUE,11232,4.5,,40.655667,-74.006917,European,lunch breakfast city fresh industry quick,17187886478
The STARLIGHT,,GRAND ST,11211,4,$$,40.710975,-73.948059,American,burger cheese bar chicken steak nice,17184863700
WXYZ BAR,A,ANN ST,10038,5,$$,40.71035,-74.00679,American,karaoke bartender busy check danee drinks,12125130003
EL SABROSO RESTAURANT,Z,W 37TH ST,10018,4,$,40.75408435,-73.99149001,Latin,chicken rice lunch beans seating meat,12122841118
MIRCH,A,HILLSIDE AVE,11432,3.5,$$,40.71196314,-73.78996655,Asian,burger chicken service drinks steak fat,17182628100
FOOLS GOLD,A,E HOUSTON ST,10002,4,$$,40.7231079,-73.9897536,American,drinks bar beer friendly night love,12126732337
TRELAWNI PLACE,Z,UTICA AVE,11203,2.5,$$,40.63724164,-73.92918694,American,drinks minutes menu waitress wings bar,13474926100
MI BELLA DAMA RESTAURANT,A,KNICKERBOCKER AVENUE,11237,3,$$,40.70162201,-73.92378998,European,spanish dominican speak walked bit customer,17186284253
PIZZA STOP,A,LENOX AVENUE,10037,3.5,$,40.815358,-73.940411,Pizza,pizza slice pie chicken cheese delivery,12122343131
DJ REYNOLDS PUB AND RESTAURANT,A,WEST   57 STREET,10019,3.5,$$,40.76775,-73.98487,European,bartender bar beer drinks service pub,12122452912
DAVID'S BRISKET HOUSE,A,NOSTRAND AVE,11216,4.5,$$,40.679434,-73.949515,American,pastrami meat brisket sandwich beef david,17187891155
STARBUCKS,A,37 AVENUE,11372,3,$$,40.749561,-73.887374,Coffee,drinks starbucks people wifi barista coffee,17184570875
SISTINA,A,E 81ST ST,10028,3.5,$$$$,40.77455926,-73.95441193,European,special service table dessert nice birthday,12128617660
BEACON BAR,A,BROADWAY,10023,3.5,$$,40.780685,-73.981041,American,hotel stay beacon clean door friendly,12127871100
KAL BAKERY & RESTAURANT,A,CHURCH AVENUE,11203,3.5,$,40.65126,-73.945593,Latin,haitian customer service im ive cheese,17184628786
CUPS AND CONES,A,ROCKAWAY BOULEVARD,11420,5,,40.672834,-73.832588,Drink&Sweets,accept choice counter fan fast im,17182153308
CHARRUA,,ESSEX ST,10002,4,$$,40.72004,-73.9876,European,sandwich flan sauce service xathe nice,12126775838
LA MESITA,A,MYRTLE AVE,11237,4,$,40.6992569,-73.9152222,Latin,burrito mexican chicken delicious rice salsa,17183668700
SABOR ANDINO,A,14 AVENUE,11219,4,$$,40.6256714,-73.9986267,Latin,chicken steak attentive bad ecuadorian flavor,17182362030
ALICE'S TEA CUP,A,EAST   81 STREET,10028,3.5,$$,40.775092,-73.955404,American,tea scones friendly service pot wait,12127344832
SANCTUARY T,B,WEST BROADWAY,10013,3.5,$$,40.7223798,-74.0035218,American,tea cocktails drinks cheese class friendly,12129417832
IL RICCIO RESTAURANT,A,E 79TH ST,10075,3,$$,40.77466,-73.95879,European,xathe pasta called service riccio delicious,12126399111
METROPOLITAN,A,LORIMER STREET,11211,3.5,$,40.71363,-73.94948,American,bar drinks people love friendly bartender,17185994444
NEW MEI MEI CHINESE RESTAURANT,A,NOSTRAND AVENUE,11229,4,$$,40.5969532,-73.9413834,Chinese,chinese mei delivery love bland chicken,17187431054
ANNIES FIRST WOK RESTAURANT,,YORK STREET,11201,5,,40.70154,-73.98456,Chinese,chinese continue customer remodeled sign american,17188524383
PINKBERRY,A,BROADWAY,10025,3,$$,40.805478,-73.966252,Drink&Sweets,flavor pinkberry top yogurt froyo frozen,12122220191
GETTING HUNGRY,A,VARICK ST,10014,3,$,40.72899,-74.00545,Other,pasta line lunch meatballs bagel sandwich,12124630600
BAKE RIDGE BAGEL,B,3 AVENUE,0,2.5,$,40.617376,-74.0333572,QuickMeal,bagel service wait cheese fresh people,17186806353
MCDONALD'S,A,31ST ST,11106,2.5,$,40.76061516,-73.92614625,QuickMeal,mcdonalds manager customer service cashier lot,17185456803
CHAMPION BAKERY,B,WHITE PLAINS ROAD,10466,4,$,40.88791,-73.8602,Other,patties bread bakery beef crust jamaican,17187981203
BAILEY SEAFOOD MARKET & RESTAURANT,A,W 231ST ST,10463,2.5,$$$,40.878063,-73.902848,Other,fried cooked fish shrimp crinkle delivery,13479646295
BAR VERDE,,2 AVENUE,10003,4.5,$$,40.72608491,-73.98973614,Latin,vegan tacos mexican taste service amazing,12127776965
EL RUMBERO BAR RESTAURANT,,NORTHERN BOULEVARD,11372,3.5,,40.75574751,-73.88504869,Latin,service amazing cooked drinks es night,17188033125
LITTLENECK OUTPOST,A,FRANKLIN ST,11222,3.5,$$,40.729301,-73.957227,American,coffee sandwich egg ive table avocado,17183833080
DIRTY PIERRES BISTRO,A,STATION SQUARE,11375,4,$$,40.71924043,-73.84510402,European,drinks friendly mussels love busy dirty,17188309698
PABLO'S RESTAURANT,,NEWKIRK PLAZA,11226,3.5,$,40.63518536,-73.9626749,American,breakfast waffle bacon meal chicken lunch,17184217603
DADDYO'S ON BAY,A,BAY ST,10301,3.5,$$,40.637464,-74.0754962,Other,cheese brisket bbq friendly service wait,17182854096
TARO ASIAN FOOD RESTAURANT,,13 AVENUE,11228,4,$$,40.622196,-74.005028,Chinese,sushi roll lunch lobster xathe huge,17182324680
LEDERHOSEN RESTAURANT,A,GROVE STREET,10014,4,$$,40.73295,-74.00454,European,german beer bar love lederhosen potatoes,12122067691
GREAT SICHUAN,A,3RD AVE,10016,3.5,$$,40.74082,-73.98127,Chinese,chinese lunch dish pretty service soup,12126868866
LE CAFE COFFEE,A,EAST 14TH STREET,10003,4.5,$$,40.73574608,-73.99287422,American,coffee latte lavender drinks perfect friendly,12123651060
HOTEL PIERRE-MAIN KITCHEN,A,EAST   61 STREET,10065,4.5,$$$$,40.765242,-73.972014,American,hotel service tea pierre beautiful nice,12128388000
EAST MEETS WEST CHINESE RESTAURANT,A,CROSS BAY BOULEVARD,11414,2.5,$,40.654906,-73.839257,Chinese,xathe chinese customer amys eat fried,17183230600
DIRTY BIRD TO-GO,A,WEST   14 STREET,10011,3.5,$$,40.73875,-74.00053,QuickMeal,chicken cheese fried dirty fingers bird,12126204836
THE PAPER BOX,A,MEADOW STREET,11206,5,,40.71087265,-73.9365921,American,guys accommodating geared nice rehearsal space,17183833815
NEW UNIVERSITY DELI,Z,WEST  168 STREET,10032,3,$,40.8413136,-73.9399992,Other,bar lunch deli sandwich buffet salad,12125683838
BKLN DINER,A,AVENUE N,11234,3,$$,40.61942,-73.9175099,American,diner breakfast wait delivery coffee egg,17182092246
BUFFALO WILD WINGS GRILL & BAR,A,20TH AVE,11356,2,$$,40.7821,-73.8337899,QuickMeal,wings wait drinks service table buffalo,17183539453
POPEYES LOUISIANA KITCHEN,A,EAST  233 STREET,10466,1.5,$,40.88941,-73.84335,QuickMeal,popeyes chicken clean customer employees horrible,13479454700
PHO BAC VIETNAMESE SEAFOOD CUISINE,A,BROADWAY,11373,3,$,40.74129888,-73.88130747,Asian,pho roll spring eat service bowl,17186390000
"DUNKIN' DONUTS, BASKIN ROBBINS",A,FLUSHING AVENUE,11378,1.5,$,40.72142792,-73.90392303,QuickMeal,cream ice baskin freezer friendly robbins,17184170918
ROUGH TRADE,A,N 9TH ST,11249,4,$$,40.720878,-73.959945,Drink&Sweets,record store concert vinyl rough space,17183884111
PIG 'N' WHISTLE,A,WEST   48 STREET,10036,3,$$,40.75784627,-73.98016293,European,drinks wasnt xai irish nice pretty,12128190095
