NAME,TEL,ADDRESS,ZIP,LAT,LON
Perlow Rich Katharina Gallery Inc,(212) 644-7171,41 E 57th St,10022,40.76236541,-73.97163996
Peter L Villa Fine Art,(212) 371-1196,110 E 57th St,10022,40.7611697,-73.97029437
Peter Rose Gallery,(212) 759-8173,200 E 58th St,10022,40.76057555,-73.96690495
Peters Gerald Gallery,(212) 628-9760,24 E 78th St,10075,40.77566356,-73.96316937
Phoenix Design Ltd,(718) 423-3458,21415 41st Ave,11361,40.76366855,-73.77059062
Phoenix Gallery,(212) 226-8711,210 ELEVENTH AVENUE,10001,40.74977525,-74.00599167
Phoneup,(212) 219-8287,55 Chrystie St,10002,40.71651672,-73.99502605
Photo & Art Gallery,(718) 471-7840,1023 Beach 20th St,11691,40.6029621,-73.75339447
Photo Collection Gagliardi,(212) 229-1816,27 W 20th St,10011,40.74063767,-73.99269647
Photo District Gallery,(212) 807-8787,37 W 20th St,10011,40.74080485,-73.99310574
Phyllis Lucas Gallery Inc,(212) 755-1516,981 2nd Ave,10022,40.75614508,-73.96795086
Picture This Corporate Art,(718) 625-2722,249 Smith Street,11231,40.68324194,-73.9926035
Pierogi 2000,(718) 599-2144,177 N 9th St,11211,40.71875035,-73.9557816
Place Des Vosges,(212) 995-2899,816 Broadway,10003,40.73276122,-73.99094408
Plane Space,(917) 606-1268,102 Charles St,10014,40.73439963,-74.00518363
Plaster Palace,(718) 621-3175,5305 18th Ave,11204,40.62575957,-73.98315035
Plaza Holding Inc,(212) 247-4744,15 W 55th St,10019,40.76215882,-73.97575362
Plaza Holding Inc,(212) 956-1900,15 W 55th St,10019,40.76226036,-73.97568006
Plaza Watch & Jewelry Exchange,(212) 246-2000,145 W 57th St,10019,40.76526144,-73.97867414
Pleiades Gallery,(646) 230-0056,530 W 25th St,10001,40.74937493,-74.00477069
Plum Blossom Gallery,(212) 719-7008,555 W 25th St,10001,40.75017633,-74.00537358
Polizzi Fine Art,(718) 680-6777,7813 3rd Ave,11209,40.62887622,-74.02860202
Poller Leah,(212) 274-1704,98 Greene St,10012,40.72417671,-73.99973976
Portara Gallery,(718) 224-7093,4720A Bell Blvd,11361,40.75653978,-73.76753264
Portico Fine Art,(212) 941-8248,139 Spring St,10012,40.72425932,-74.00082666
Portrait Gallery,(718) 377-8762,5100 Kings Plz,11234,40.60993574,-73.92228135
Postmasters Gallery,(212) 727-3323,459 W 19th St,10011,40.74520243,-74.0053466
Praxis International Art,(212) 772-9478,25 E 73rd St,10021,40.77277684,-73.96513542
Prieto International Attorney In Fact Johnpoll,(212) 267-6790,127 Fulton St,10038,40.71024984,-74.00723565
Prince Street Gallery,(646) 230-0246,530 W 25th St,10001,40.7493379,-74.0046948
Professional Fine Arts Svces Inc,(646) 336-6613,141 W 20th St,10011,40.74191723,-73.9957317
Proposition the,(212) 242-0035,162 11th Ave,10011,40.7482054,-74.00714842
Public Art Fund,(212) 980-4575,1 E. 53d St.,10022,40.76037548,-73.97518754
Puerto Rican Work Shop Inc,(212) 534-7534,121 E 106th St,10029,40.79269985,-73.94672759
Pushman Gallery Inc,(212) 582-0130,154 W 57th St,10019,40.76499909,-73.97991308
Pytlak Art Studio,(718) 599-1265,573 Metropolitan Ave,11211,40.71427613,-73.94988527
Queen Art Publishers Inc,(212) 274-0237,481 Washington St,10013,40.72549195,-74.00979549
Questroyal Fine Art,(212) 744-3586,903 Park Ave,10021,40.7757238,-73.96001774
Rabenou Yris Ancient Arts,(212) 486-0661,249 E 61st St,10021,40.76222398,-73.9638362
Radio House Gallery,(212) 620-7630,601 W 26th St,10001,40.75178267,-74.00698523
Rafael Gallery,(212) 744-8666,241 E 59th St,10022,40.76106891,-73.96484847
Rainbow Fine Art Inc,(212) 585-2587,15 E 82nd St,10028,40.77866481,-73.96108478
Ralph Chait Galleries Inc,(212) 397-2818,724 5th Ave,10019,40.76269799,-73.97472467
Randel Gallery Inc,(212) 861-6650,49 East 78th Street,10021,40.77557044,-73.96194182
Randolph & Tate Assocs,(212) 595-6302,234 5th Ave,10001,40.74435684,-73.9880468
Raphael Fodde Editions,(718) 624-6048,70 WASHINGTON ST,11201,40.7020874,-73.98997736
Rare art Gallery,(212) 268-1520,521 W 26th St Bsmt,10001,40.75021573,-74.00368999
Raydon Gallery,(212) 288-3555,1091 Madison Ave,10001,40.77833721,-73.96032668
Red Dot,(212) 675-0448,140 W 22nd St,10011,40.74274458,-73.9950592
Reece Galleries Inc The,(212) 333-5830,24 W 57th St,10019,40.76335607,-73.97570996
Reeves Contemporary Inc,(212) 714-0044,535 W 24th St,10011,40.74928258,-74.00518821
Regina's Art Center,(718) 837-5807,1921 Benson Ave,11214,40.60337998,-74.00172859
Rehs Galleries Inc,(212) 355-5710,5 E 57th St,10022,40.762974,-73.97311044
Reinhold Brown Gallery,(212) 734-7999,1100 Madison Ave,10028,40.77864024,-73.96068894
Renaissance Gallery,(212) 234-0974,300 W 147th St,10039,40.82412358,-73.94134747
Resnick Ira Inc,(212) 223-1009,133 E 58th St,10022,40.76189453,-73.96881061
Ricco Maresca Gallery,(212) 627-4819,529 W 20th St,10011,40.74661225,-74.00684653
Richard Gray Gallery,(212) 472-8787,1018 Madison Ave,10021,40.77603512,-73.96268744
Richard Solomon,(212) 223-9545,305 E 50th St,10022,40.75490203,-73.96796822
Richard York Gallery,(212) 772-9155,21 E. 65th St.,10065,40.76764185,-73.96884242
Rienzo Gallery,(212) 288-2226,20 E 69th St,10021,40.7698308,-73.96715177
Ritter-Antik Inc,(212) 673-2213,35 E 10th St,10003,40.73250427,-73.99270194
Rivington Bar & Art Gallery,(212) 253-7703,174 Rivington St,10002,40.71908748,-73.98443866
Robert Lee Morris Inc,(212) 431-9405,400 W Broadway,10012,40.72440709,-74.00236651
Robert Mann Gallery,(212) 989-7600,210 11th Ave,10001,40.74974338,-74.00591124
Robert Miller Gallery Inc,(212) 366-4774,526 W 26th St,10001,40.74998086,-74.00423399
Robert Steele Gallery,(212) 243-0165,511 W 25th St,10001,40.74942346,-74.00398548
Robertson African Arts,(212) 206-0912,36 W 22nd St,10010,40.74150835,-73.99212377
Rogallerycom,(212) 732-6887,300 East 74th Street,10021,40.7697075,-73.95726809
Ronald Feldman Fine Arts,(212) 226-3232,31 Mercer St,10013,40.72116039,-74.00185591
Roosevelt Island Visual Arts Assoc,(212) 308-6630,527 Main St,10044,40.75359867,-73.9564351
Rosen Andrea Gallery Inc,(212) 627-6000,525 W 24th St,10011,40.74904372,-74.00493762
Rosenberg & Kaufman Fine Art,(212) 431-4838,115 Wooster St,10012,40.72502497,-74.00070941
Rosenberg Paul & Co,(212) 472-1134,20 E 79th St,10021,40.77623796,-73.96251599
Ross Luise Gallery,(212) 343-2161,511 West 25 Street,10001,40.74945792,-74.00391752
Roth,(212) 717-9067,160A E 70th St,10021,40.76883963,-73.96253716
Rotunda Gallery,(718) 875-4047,33 Clinton St,11201,40.69515734,-73.99146799
Royal Fine Art,(212) 452-4297,1158 Lexington Ave,10021,40.77550889,-73.95868741
Royal-Athena Galleries,(212) 355-2033,153 E 57th St,10022,40.76078611,-73.96804937
Rudolph De Paola Art Gallery,(718) 238-6026,6 Parrott Pl,11228,40.6179935,-74.02172407
Ruesch Jeffrey Fine Arts,(212) 925-1137,134 Spring St,10012,40.72382475,-74.00107131
Russeck Gallery,(212) 475-9939,478 W Broadway,10012,40.72679316,-74.00056532
Russian World,(212) 399-6500,18 W 55th St,10019,40.76192574,-73.97604749
S & A Art Gallery Inc,(212) 794-5251,1248 Lexington Ave,10028,40.77844643,-73.95658935
S 2 Editions Ltd,(212) 206-7345,155 Ave of the Americas,10013,40.72529481,-74.00479226
S E Art & Design Inc,(212) 980-1914,232 E 59th St,10022,40.76074545,-73.96523801
Sabarsky Serge Gallery,(212) 628-6281,58 E 79th St,10021,40.77589273,-73.96160397
Sabbatique Ltd,(212) 213-9344,10 Waterside Plz,10010,40.73684452,-73.97398004
Sabrina Enterprise.Com Artworks Sales and Rprdctns,(718) 335-5088,10022 32nd Ave,11369,40.75905864,-73.86790725
Sacks Fine Art,(212) 333-7755,229 East 60th Street,10022,40.76182789,-73.96475381
Safani Gallery Inc,(212) 570-6360,980 Madison Ave,10021,40.77483294,-73.96369841
Salz Trager Janet,(212) 744-6080,700 Park Ave,10021,40.76954041,-73.96550966
Sam's Souk,(212) 535-7210,979 Lexington Ave,10021,40.76945601,-73.96253151
Sanada Ikkanart Intl,(212) 734-3055,30 E 85th St,10028,40.78007652,-73.95977784
Sands & Company Inc Fine Art At Madison Av,(212) 988-3900,30 E 76th St,10021,40.7741378,-73.96342194
Sara Meltzer On View,(212) 343-8256,588 Broadway,10012,40.72470086,-73.99709363
Sarafina Inc,(718) 522-1083,411 Myrtle Ave,11205,40.69329479,-73.96937268
Sarajo Inc,(212) 966-6156,130 Greene St,10012,40.72527107,-73.99880177
Sarina Tang Fine Art,(212) 242-9001,535 W 23rd St,10011,40.74841076,-74.00525478
Savacou Galleries,(212) 473-6904,240 E 13th St,10003,40.73178218,-73.98626836
Sayn-Wittgenstein,(212) 288-1493,155 E 72nd St,10021,40.77036691,-73.96141027
Schellmann Editions,(212) 219-1821,210 11th Ave,10001,40.74982694,-74.00585462
Schickler Howard Fine Art,(212) 431-6363,100 Water St,11201,40.70287472,-73.98992302
Schillay Fine Art,(212) 861-8353,520 E 72nd St,10021,40.76613926,-73.95267538
Schiller & Bodo Fine Art,(212) 772-8627,120 E 65th St,10021,40.76612067,-73.96628743
Schlesinger Gallery,(212) 734-3600,24 E 73rd St,10021,40.77245892,-73.96547437
Scholten Japanese Art,(212) 585-0474,63 E 66th St,10021,40.76771754,-73.96707156
Schonfeld R D & Co Inc,(212) 755-7005,349 E 49th St,10017,40.75363538,-73.96698518
Sculpture Center,(718) 361-1750,44-19 Purves St,11101,40.74692133,-73.94081427
Sean Kelly Inc,(212) 239-1181,526 W 29th St,10001,40.75188382,-74.00306879
Sears-Peyton Gallery,(212) 966-7469,210 11th Ave,10001,40.74991739,-74.00579913
Seaside Summer Concert Series Inc,(718) 469-1912,572 Flatbush Ave,11225,40.65968268,-73.96089004
Second Ave Art Expo,(212) 223-9095,980 2nd Ave,10022,40.75583142,-73.96741088
Seibold Eleanor,(212) 988-4731,1601 York Ave,10028,40.77506696,-73.94807967
Senior & Shopmaker,(212) 213-6767,21 E 26th St,10010,40.7432733,-73.98681735
Sepia International Inc the,(212) 645-9444,148 W 24th St,10011,40.74425013,-73.9945027
Serbin Inna,(212) 249-5252,342 E 77th St,10021,40.77111187,-73.95440567
Serger Helen La Boetie,(212) 535-4865,9 E 82ND ST,10028,40.77875555,-73.96122592
Seven Colors,(212) 681-9091,555 5th Ave,10017,40.75567804,-73.97882344
Shades of Art,(718) 834-0084,47 Flatbush Ave,11217,40.68753305,-73.97949384
Shainman Jack Gallery,(212) 645-1701,513 W 20th St,10011,40.74636555,-74.0062634
Shapolsky Anita Gallery,(212) 452-1094,152 E 65th St,10021,40.76539575,-73.96455977
Shawn Dulaney Studio,(212) 255-7986,34 W 22nd St,10010,40.74147187,-73.99205567
Shepherd & Derom Galleries,(212) 861-4050,58 E 79th St,10021,40.77579399,-73.96166653
Shickman H Gallery,(212) 249-3800,220 E 72nd St,10021,40.76901768,-73.95972631
Shulman B & M Inc,(718) 646-6022,2623 Avenue U,11229,40.60027352,-73.94506548
Sigrid Freundorfer Fine Art,(212) 517-9700,790 Madison Ave,10021,40.76848323,-73.96809593
Silverstein Gallery Inc,(212) 929-4300,520 West 21st St,10011,40.7465867,-74.00610392
Simply Marvelous Art,(718) 291-9862,159-15 Jamaica Ave,11432,40.70412221,-73.79975655
Skoto Gallery,(212) 352-8058,529 W 20th St,10011,40.74667658,-74.0068503
Sloan McGill Collection,(718) 469-1930,150 Midwood St,11225,40.65961513,-73.95565084
Smack Mellon Studios,(718) 422-0989,92 Plymouth St,11201,40.70375074,-73.98985972
Smith Gallery,(212) 744-6171,447 W 24th St,10011,40.74814601,-74.00265775
Society For Renewal of Christian Art,(212) 288-8186,217 E 66th St,10021,40.76564703,-73.96219073
Soho 20,(212) 367-8994,511 W 25th St,10001,40.74948118,-74.00383257
Soho Photo Gallery,(212) 226-8571,15 White St,10013,40.71896419,-74.00555633
Soldwedel Kipp,(212) 759-1175,470 Park Ave,10022,40.76224192,-73.970742
Soloman & Co Fine Art Gallerie,(212) 737-8200,959 Madison Ave,10021,40.77383485,-73.96352461
Sonnabend Gallery Inc,(212) 627-1018,532 W 22nd St,10011,40.74753287,-74.00640433
Soufer Gallery,(212) 628-3225,1015 Madison Ave,10075,40.77578491,-73.96219093
Spencer Brownstone Gallery,(212) 334-3455,39 Wooster St.,10013,40.72259291,-74.00285195
Sperone Westwater,(212) 253-0648,121 Greene St,10012,40.72544341,-73.9992624
Spring,(718) 222-1054,126 Front St,11201,40.70224828,-73.98739581
Sragow Ellen Ltd,(212) 219-1793,153 West 27th Street,10001,40.74652176,-73.9930249
St Etienne Galerie,(212) 245-6734,24 W 57th St,10019,40.76331815,-73.9756284
Staley-Wise Gallery,(212) 966-6223,560 Broadway,10012,40.72388325,-73.99767009
Start,(212) 431-2414,50 Greene St,10013,40.72198834,-74.00158103
State of Art,(718) 349-7250,113 Franklin St,11222,40.73022122,-73.95791517
Steigrad Lawrence Fine Arts,(212) 517-3643,23 E 69th St,10021,40.76982013,-73.96622596
Stein Gertrude Gallery,(212) 535-0600,200 West 57th Street,10019,40.76544489,-73.98049754
Stephen Downes Gallery,(212) 274-9194,377 Broome St,10013,40.72012487,-73.99647297
Stewart Waltzer Co,(212) 675-4949,200 W Houston St,10014,40.72871353,-74.0039409
Storefront For Art and Architecture,(212) 431-5795,97 Kenmare St,10012,40.72147743,-73.9970683
"Stricoff Fine Art, Ltd.",(212) 219-3977,564 W 25th St,10001,40.74989328,-74.00571078
Studio Gallery,(212) 579-4654,205 W 88th St,10024,40.78933483,-73.97428548
Studio Tamar,(212) 529-4247,152 E 22nd St,10010,40.73821552,-73.98429766
Stux Gallery,(212) 352-1600,530 W 25th St,10001,40.74932239,-74.0048092
Sugarhill Arts Center,(212) 491-5890,3658 Broadway,10031,40.8302204,-73.94709267
Suite 106,(212) 274-9166,112 Mercer St,10012,40.72359612,-73.99892431
Sun Yi Jun,(212) 625-1910,83 Bowery,10002,40.71676282,-73.99534581
Susan Aberbach Fine Art,(212) 207-4600,41 E 57th St,10022,40.76228905,-73.97168389
Susan Megson Gallery,(212) 254-8090,456 W Broadway,10012,40.7262492,-74.00081321
Susan Rolfe Associates Fine Arts Ltd,(212) 688-7184,654 Madison Ave,10021,40.7644843,-73.97111034
Susan Sheehan Gallery,(212) 489-3331,535 West 22nd Street,10011,40.74791171,-74.00605482
Sutherland M,(212) 249-0428,620 Park Ave,10021,40.76696025,-73.96722779
Swiss Institute,(212) 925-2035,495 Broadway,10012,40.72224748,-74.00006289
Taglialatella Dominic J,(212) 367-0881,511 West 25th Street,10001,40.7495251,-74.00394584
Takako Tsuji Gallery,(212) 231-1778,41 E 57th St,10022,40.76221205,-73.97173794
Talwar Gallery,(212) 673-3096,108 E 16th St,10003,40.73545815,-73.98882749
Tambaran Gallery,(212) 570-0655,5 E 82nd St,10028,40.77879669,-73.96139899
Tang Sarina,(212) 517-7401,3 E 76th St,10021,40.77499081,-73.96443414
Tanya Bonakdar Galery,(646) 638-9471,521 W 21st St,10011,40.74717188,-74.00619628
Tate,(212) 242-9888,413 W 14th St,10014,40.74160877,-74.00618826
Tatistcheff Gallery Inc,(212) 664-0907,529 West 20th Street,10011,40.74659365,-74.00694992
Team Gallery,(212) 279-9219,527 W. 26th St.,10001,40.75021954,-74.0039373
Teller Susan Gallery,(212) 941-7335,568 Broadway,10012,40.72429066,-73.99746436
Tenri Cultural Institute,(212) 645-2800,43A W. 13th St.,10011,40.73640267,-73.99609362
Thaw E V & Co,(212) 535-6333,726 Park Ave,10021,40.77042623,-73.96487148
The Affordable Art Fair Llc,(212) 255-2003,216 W 18th St,10011,40.74128145,-73.99907019
The Axa Gallery,(212) 554-4818,787 7th Ave,10019,40.76169418,-73.9817828
The Bohen Foundation,(212) 414-4575,415 W 13th St,10014,40.74080796,-74.00650281
The Chinese Art Gallery,(212) 759-1153,1050 2nd Ave,10022,40.75795522,-73.96565695
The Dollhaus Art Gallery,(718) 486-0330,37 Broadway,11211,40.71090184,-73.96728726
The Gallery 172,(718) 861-3571,1620 E 172nd St,10472,40.8315804,-73.8749194
The Old Print Shop Inc,(212) 683-3950,150 Lexington Ave,10016,40.74374126,-73.98210768
The Phatory Llc,(212) 777-7922,618 E 9th St,10009,40.72572166,-73.97947469
The Q Department,(212) 219-3304,28 Howard St,10013,40.71966311,-74.00036768
The Scene Gallery,(212) 674-0508,42 Rivington St,10002,40.72106206,-73.99097517
Thicket,(212) 343-2849,10 Leonard St,10013,40.71858122,-74.00824905
Think Art Gallery,(212) 695-2006,336 W 37th St,10018,40.75466722,-73.99403189
Thomas & Hirsch,(212) 625-2011,375 W Broadway,10012,40.72343124,-74.0022847
Thomas Erben Gallery,(212) 645-8701,526 W 26th St,10001,40.74989644,-74.00429401
Thomson C Art,(212) 249-0242,19 E 75th St,10021,40.77400673,-73.9643099
Three East Third St Corp,(212) 533-7749,3 E 3rd St,10003,40.72631717,-73.99127036
Throckmorton Fine Arts,(212) 223-1059,145 E. 57th St.,10022,40.76094893,-73.9684469
Tilton Jack Gallery,(212) 941-1775,47 Greene St,10013,40.72225087,-74.00200058
Time Is Always Now,(212) 343-2211,476 Broome St.,10013,40.72303601,-74.00165246
Tk Oriental Antiques,(212) 980-6416,41 E 57th St,10022,40.76234556,-73.97182904
Tobey Fine Art,(212) 431-7878,580 Broadway,10012,40.72443535,-73.99703668
Ton Ying & Co,(212) 751-0134,1050 2nd Ave,10022,40.75808113,-73.96571788
Tonal Motion Inc,(212) 719-4393,1026 Avenue of the Americas,10018,40.75245457,-73.98546139
Tonkonow Leslie,(212) 255-8450,535 W 22nd St,10011,40.74795822,-74.00615109
Tower Art Gallery,(212) 571-0100,7 Maiden Ln,10038,40.70983828,-74.00950849
Traditional Art Gallery Inc,(212) 593-0350,1050 2nd Ave,10022,40.75803479,-73.96585513
Triangle Editions,(212) 355-3754,111 E 62nd St,10021,40.76471075,-73.96777316
Tribes Gallery,(212) 674-8262,285 E. Third St.,10009,40.72155551,-73.97988408
Triple Candie,(212) 865-0783,461 W 126th St,10027,40.81374658,-73.95506322
Triton Collection the,(212) 594-9590,224 12th Ave,10001,40.75257912,-74.00704894
Troubetzkoy Paintings,(212) 473-4047,366 E 8th St,10009,40.72422992,-73.97777959
Tunick David,(212) 570-0090,19 East 66th Street,10065,40.76833078,-73.96849023
Turkana Gallery,(212) 732-0273,125 Cedar St,10006,40.70976778,-74.01245255
Ubu Gallery,(212) 753-4444,416 EAST 59 STREET,10022,40.75904778,-73.9612439
Under Minerva,(718) 788-0170,656 5th Ave,11215,40.66242445,-73.99264059
Up & Co,(212) 966-7847,257 Church St,10013,40.71803596,-74.00525334
Uptown Gallery the,(212) 722-3677,1194 Madison Ave,10128,40.78195083,-73.95834181
Urban Architecture Gallery of Applied Arts Inc,(718) 349-3837,1205 Manhattan Ave,11222,40.73872,-73.9556829
"Ursus Books & Prints, Ltd.",(212) 744-1600,981 Madison Ave.,10021,40.77455057,-73.96314948
Valenzi Gallery & Framing,(718) 274-1419,2904 23rd St,11102,40.76975797,-73.92609137
Van De Weghe Fine Art,(212) 929-6633,521 W 23rd St,10011,40.74829506,-74.00485832
Vance Jordan Fine Art,(212) 570-9500,958 Madison Ave,10001,40.77407623,-73.96412402
Veranda Design,(212) 724-5156,225 W 83rd St,10024,40.78627113,-73.97719259
Verona Arts Ltd,(212) 317-1010,603 5th Ave,10017,40.7574937,-73.97755224
Viart Corporation,(212) 752-3500,120 E 56th St,10022,40.76043004,-73.970647
Vick Corporate Art Advisors,(212) 414-1976,210 11th Ave,10001,40.74980455,-74.00577307
Vieille Russie Inc Antiqs & Jwlry,(212) 752-1727,781 5th Ave,10022,40.76431012,-73.97253002
Vietnam Art Design,(212) 431-8889,345 Greenwich St,10013,40.71840386,-74.0101257
Viewpoint Gallery,(212) 242-5478,41 Union Sq W,10003,40.73711799,-73.99068945
Vincent Fremont Enterprises,(212) 414-1881,1 Union Sq W,10003,40.73550087,-73.99187771
Viridian Artists Inc,(212) 414-4040,530 W 25th St,10001,40.74929138,-74.00472764
Visage Studios,(212) 391-0131,12 West 37th Street,10018,40.75055103,-73.98424841
Visual Arts Gallery,(212) 598-0221,137 Wooster St,10012,40.7259206,-74.00014431
Volpe Organization,(212) 227-7913,100 W End Ave,10023,40.77482589,-73.98809617
Wada Takashi Gallery,(212) 586-8979,350 W 50th St,10019,40.76290655,-73.98849961
Wade Maxx Art Gallery,(212) 579-6529,191 Columbus Ave,10023,40.7752092,-73.98013755
Wally Findlay Galleries,(212) 421-5390,124 E 57th St,10022,40.76088973,-73.96978732
Ward-Nasse Gallery,(212) 925-6951,178 Prince St,10012,40.72612435,-74.00206949
Washburn Galleries,(212) 397-6780,20 W 57th St,10019,40.76329173,-73.9754894
Washington Sq Outdoor Art Exhibit Inc,(212) 982-6255,115 E 9th St,10003,40.73055351,-73.98955957
Webster David,(212) 367-8120,448 W 16th St,10011,40.74255494,-74.00604994
Weisbrod Chinese Art Ltd,(212) 319-1335,36 E 57th St,10022,40.76183606,-73.97195658
Wellesley the,(212) 288-2666,200 E 72nd St,10021,40.76937887,-73.96043137
Wessel & O'Connor,(212) 242-8811,242 W. 26th St.,10011,40.74658362,-73.99604272
Westbeth Gallery,(212) 989-4650,55 Bethune St,10014,40.73681609,-74.00892207
Western Art Collectors Society,(718) 351-5268,1374 Richmond Rd,10304,40.5952498,-74.09740511
Westwood Gallery,(212) 925-5700,568 Broadway,10012,40.72442296,-73.99734434
Weybridge Fine Art,(212) 628-5445,30 E 81st St,10028,40.77737493,-73.96097806
Whas Cultural Art Center Inc,(212) 569-2224,4450 Broadway,10040,40.85624733,-73.93249803
White Box,(212) 714-2347,525 W. 26th St.,10001,40.75032291,-74.00398261
White Columns Inc,(212) 924-4212,320 W 13th St,10014,40.73907339,-74.00412299
Whitfield James Fine Art,(212) 982-8050,107 University Pl,10003,40.73415172,-73.99223345
Wickiser Walter Gallery Inc,(212) 941-1817,210 Eleventh Avenue,10001,40.74970893,-74.00583422
Willow Woodstock Artistic Enterprises,(212) 677-6547,92 Saint Marks Pl,10009,40.72731799,-73.98503774
Wilmer Jenning Gallery,(212) 505-6771,215 E 2nd St,10009,40.72158811,-73.98297564
Winston Wachter Mayer Fine Art,(212) 255-2718,530 W 25th St,10001,40.74947055,-74.00469934
Winter Works On Paper,(718) 599-0910,167 North 9th Street,11211,40.71884386,-73.95596899
Wolf Daniel Inc,(212) 772-7721,52 E 78th St,10021,40.77515497,-73.96208739
Woodward Gallery,(212) 966-3411,133 Eldridge Street,10002,40.71901344,-73.99181719
WORLD AFRICA,(212) 781-1872,779 RIVERSIDE DR,10032,40.83514504,-73.94753651
World Art Center,(212) 791-4941,104 Nassau St,10038,40.71059949,-74.00717582
Yancey Richardson Gallery,(646) 230-9610,535 W 22nd St,10011,40.74799009,-74.00606502
Yasuda Fine Arts Inc,(212) 977-7966,15 W 53rd St,10019,40.76154759,-73.9776035
Yorks Shona Gallery,(212) 431-7444,99 Spring St,10012,40.72346095,-73.99930952
Yorkville Art Gallery & Framing,(212) 423-0604,1687 3rd Ave,10128,40.78412567,-73.94977563
Yoshii Gallery,(212) 744-5550,980 Madison Avenue,10075,40.77472916,-73.96353645
Yung Hee Kim,(212) 734-0009,945 5th Ave,10021,40.77480195,-73.9650305
Zabriskie Gallery,(212) 752-1223,41 W 57th St,10019,40.76417706,-73.97608678
Zarre Andre Gallery,(212) 255-0202,529 W 20th St,10011,40.74665656,-74.00694053
Zetterquist Galleries,(212) 751-0650,3 East 66th Street,10065,40.76855091,-73.96909886
Zito Studio Gallery,(646) 602-2338,122 Ludlow St,10002,40.71959638,-73.98835222
Zwirner & Wirth,(212) 517-8677,32 E. 69th St.,10021,40.76947535,-73.96656358
Zwirner David Gallery,(212) 727-2070,525 W 19th St,10011,40.74589496,-74.00696818
Priska C. Juschka Fine Art Inc,(212) 244-4320,547 W 27th St,10001,40.7512663,-74.00436441
1 2 3 Watts Gallery,(212) 219-1482,123 Watts St,10013,40.72385717,-74.00902349
12 Below,(212) 777-6777,853 Broadway,10003,40.73460139,-73.99106783
14 Sculptors Gallery,(212) 966-5790,168 Mercer St,10012,40.72525532,-73.99752291
1405 Art Gallery,(212) 717-4025,1405 2nd Ave,10021,40.76974722,-73.95798347
2 Welancora Gallery,(718) 919-0344,410 Jefferson Ave,11221,40.6840779,-73.94151974
280 Modern,(212) 941-5825,1875 Dekalb Ave,11385,40.70924363,-73.91448247
3 Costantino Fioratti Helen C,(212) 517-9176,36 E 73rd St,10021,40.77217101,-73.96468514
303 Gallery,(212) 255-1121,547 W 21st Street,10011,40.74748973,-74.00709988
33rd St Galleria,(212) 273-9673,401 7th Ave,10001,40.74998474,-73.99086173
33rd Street Galleria,(212) 760-1228,131 W 33rd St,10001,40.74995773,-73.98967644
