NAME,TEL,ADDRESS,ZIP,LON,LAT
Miller Theatre at Columbia University,(212) 854-7799,2960 Broadway,10027,-73.96346046,40.80758671
Minskoff Theatre,(212) 869-0550,1515 Broadway,10036,-73.98605419,40.75792334
Music Box Theatre,(212) 944-3700,239 W 45th St,10036,-73.98714246,40.75888741
Nederlander Theater,(212) 921-8000,208 W 41st St,10036,-73.98830897,40.7554868
Neil Simon Theatre,(212) 757-8646,250 W 52nd St,10019,-73.98452812,40.76301793
New Amsterdam Theater,(212) 282-2900,214 W 42nd St,10036,-73.98776301,40.75612047
New Victory Theatre,(646) 223-3010,209 West 42nd Street,10036,-73.98746416,40.75655716
New World Stages,(646) 871-1730,340 West 50th Street,10019,-73.98786703,40.76237396
Next Stage Theater,(888) VISIT-NY,312 West 11th Street,10014,-74.00658864,40.73562147
Nokia Theatre Times Square,(212) 930-1959,1515 Broadway,10036,-73.98621794,40.75767817
Ohio Theatre,(212) 966-4844,66 Wooster Street,10012,-74.00161141,40.72327984
Ontological Hysteric Theater,(212) 941-8911,260 W Broadway,10013,-74.00567109,40.72054656
Orpheum Theater,(212) 828-9738,1538 3rd Ave,10028,-73.95400943,40.77945538
P.S.122 Performance Space,(212) 477-5288,150 1st Ave,10003,-73.98453728,40.72821812
Palace Theatre,(212) 730-8200,1564 Broadway,10036,-73.98447032,40.75888993
Pearl Theatre,(212) 505-3401,80 Saint Marks Pl,10003,-73.98579978,40.72755902
People's Improv Theater,(212) 563-7488,154 W 29th St,10001,-73.99228995,40.74736718
Playwrights Horizons Theater School,(212) 529-8720,440 Lafayette St,10003,-73.992221,40.72948863
Queens Theatre in the Park,(718) 760-0064,Flushing Meadows Corona Park,11352,-73.8445521,40.74397928
Rattlestick Theater,(212) 627-2556,224 Waverly Pl,10014,-74.0020365,40.73617407
Richard Rodgers Theatre,(212) 221-1211,226 W 46th Street,10036,-73.98674176,40.75903833
Samuel J. Friedman Theatre (formerly the Biltmore),(888) VISIT-NY,261 W 47th St,10036,-73.9867451,40.76037502
Second Stage Theater,(212) 246-4422,307 W 43rd St,10036,-73.98973789,40.75823991
Shubert Theatre,(212) 944-3700,225 W 44th St,10036,-73.98723931,40.75813761
Snapple Theater Center,(212) 921-7862,1627 Broadway,10019,-73.98442892,40.76141062
SoHo Playhouse,(212) 691-1555,15 Vandam St,10013,-74.00436194,40.72653568
SoHo Repertory Theatre,(212) 941-8632,86 Franklin St,10013,-74.00472935,40.71823002
St. James Theatre,(888) VISIT-NY,246 W 44th St,10036,-73.98816054,40.75799823
Studio 54 Theatre,(212) 719-1300,254 W 54th Street,10019,-73.98377096,40.76435408
Swedish Cottage Marionette Theater,(212) 988-9093,West Side at 79th Street,10025,-73.97037578,40.7799663
Tenement Theatre,(212) 431-0233,97 Orchard Street,10002,-73.99027791,40.7185481
The Beckett Theatre,(212) 714-2442,410 W 42 St,10036,-73.99374147,40.75868461
The Cherry Pit,(212) 633-6533,155 Bank St,10014,-74.0090218,40.7364581
The Little Shubert theatre,(212) 944-3700,422 West 42nd Street,10036,-73.99391779,40.75855311
The Public Theater,(212) 260-2400,425 Lafayette St,10003,-73.99177372,40.7289234
The Secret Theatre,(718) 392-0722,44-02 23rd St.,11101,-73.94482123,40.748906
The Upright Citizens Brigade Theatre,(212) 366-9176,307 W 26th Street,10001,-73.99738741,40.74765359
The Walter Reade Theater at Lincoln Center,(212) 875-5600,70 Lincoln Center Plaza,10023,-73.98424387,40.77410217
The Zipper Theater,(212) 563-0480,336 W 37th St,10018,-73.99403364,40.75467479
Theater For The New City,(212) 254-1109,155 1st Avenue,10003,-73.98498035,40.72869278
Theatre @ St. Clement's,(212) 246-7277,423 West 46th Street,10036,-73.99157115,40.76156669
Theatre 80 St Marks,(212) 353-3321,80 Saint Marks Pl,10003,-73.98575179,40.72762097
Theatre Row,(212) 714-2442,410 W 42nd Street,10036,-73.99389624,40.75872837
Under St. Marks,(212) 777-6088,94 St. Marks Place,10009,-73.98496483,40.72728975
Union Square Theater,(212) 505-0700,100 E 17th St,10003,-73.98874897,40.73624066
Village Theater,(212) 253-0623,158 Bleecker St,10012,-74.00022351,40.7284551
Vineyard Theatre,(212) 353-3366,108 E 15th St,10003,-73.98918918,40.73469974
Walkerspace Theater,(212) 868-4444,46 Walker Street,10013,-74.0035137,40.7193115
Wamu Theater (formerly Theater At Madison Square Garden),(212) 465-6741,4 Penn Plaza,10001,-73.99339519,40.75049725
Westside Theater,(212) 315-2244,407 W 43rd St,10036,-73.99255324,40.75952742
Wings Theatre,(212) 627-2960,154 Christopher St,10014,-74.00889257,40.73239904
Winter Garden Theatre,(212) 944-3700,1634 Broadway,10019,-73.98348163,40.76152465
York Theatre,(212) 935-5820,619 Lexington Ave,10022,-73.96997886,40.75835723
Delacorte Theater,(212) 861-7277,Central Park - Mid-Park at 80th Street,0,-73.96882481,40.78017564
